报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
2024-09-30,,45719145692.99,,,,,,,,,,,1507785000.38,603505636.75,47830436330.12,34220254366.1,,,,,,4132090513.12,5592839511.64,3081314551.87,47026498942.73,803937387.39,,43819552248.28,319695181.44,1439858.95,,,,,44140687288.67,2034735506.63,46710768633.71,,-9608508.09,,,48745504140.34,-4604816851.67,,92494300.0,92494300.0,6855903131.41,,3282115151.16,10230512582.57,2245897226.52,1653501306.91,37595727.3,2741841263.1,6641239796.53,3589272786.04,-32701338.88,-244308017.12,16267022301.49,14967949947.11,16267022301.49,,,16022714284.37,定期报告,未审计,20241031,CNY,合并期末,2024-10-31T19:20:19
2024-06-30,,28837134385.36,,,,,,,,,,,739657587.84,277907425.27,29854699398.47,23329143538.0,,,,,,2796066358.88,3978156376.35,2355040072.99,32458406346.22,-2603706947.75,,20699394659.82,215712995.79,1301750.64,,,,,20916409406.25,1168815658.7,21349433966.0,,-9608508.09,,,22518249624.7,-1601840218.45,,92494300.0,92494300.0,4569212913.25,,2828793071.76,7490500285.01,1232433657.18,1570528421.77,37595727.3,1785823691.77,4588785770.72,2901714514.29,4760297.53,-1299072354.38,16267022301.49,14967949947.11,16267022301.49,,,14967949947.11,定期报告,未审计,20240824,CNY,合并期末,2024-08-23T18:40:07
2024-03-31,,13717986295.79,,,,,,,,,,,365091824.76,317946317.89,14401024438.44,10510143680.03,,,,,,1685190418.44,1620207281.16,1073219131.5,14888760511.13,-487736072.69,,2415000000.0,73680495.19,163877.84,,,,,2488844373.03,477689014.23,2375716551.0,,-9608508.09,,,2853405565.23,-364561192.2,,57210000.0,57210000.0,1422177211.31,,1501214820.82,2980602032.13,587312039.31,62656444.14,37595727.3,862769401.82,1512737885.27,1467864146.86,-14199411.95,601367470.02,16267022301.49,14967949947.11,16267022301.49,,,16868389771.51,定期报告,未审计,20240423,CNY,合并期末,2024-04-22T19:40:06
2023-12-31,,61905685054.3,,,,,,,,,,,1910464684.09,1093633476.16,64909783214.55,47378838109.93,,,,,,3919184125.68,2925533794.68,3704388206.98,57927944237.27,6981838977.28,,23445934178.93,99611189.52,-1409268.89,,,,,23544136099.56,2741238644.0,24633662834.72,,-9608508.09,,,27365292970.63,-3821156871.07,,1012744912.5,959998500.0,6849766421.53,,2110483282.13,9972994616.16,3560563814.12,640318279.02,37595727.3,2492603592.17,6693485685.31,3279508930.85,24738607.63,6464929644.69,9802092656.8,16267022301.49,9802092656.8,,,16267022301.49,定期报告,是,20240423,CNY,合并期末,2024-04-22T19:40:06
