日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-25,000858,147.95,140.95,148.57,140.45,286351,4556272640.0,5.36,-6.89,-10.43,0.74
2022-04-26,000858,140.95,144.45,147.76,140.49,254539,4045539328.0,5.16,2.48,3.5,0.66
2022-04-27,000858,144.45,147.34,149.36,144.45,239278,3849331184.0,3.4,2.0,2.89,0.62
2022-04-28,000858,147.35,151.8,152.61,146.5,257120,4235742304.0,4.15,3.03,4.46,0.66
2022-04-29,000858,152.25,148.08,153.25,144.81,448743,7241581056.0,5.56,-2.45,-3.72,1.16
2022-05-05,000858,145.95,147.49,150.41,145.1,244802,3973322640.0,3.59,-0.4,-0.59,0.63
2022-05-06,000858,143.98,143.01,145.61,142.46,190861,3007833168.0,2.14,-3.04,-4.48,0.49
2022-05-09,000858,140.96,140.73,142.45,138.28,186236,2874663792.0,2.92,-1.59,-2.28,0.48
2022-05-10,000858,136.95,141.28,142.45,135.55,201080,3092729200.0,4.9,0.39,0.55,0.52
2022-05-11,000858,141.28,143.46,145.6,140.95,243902,3846228736.0,3.29,1.54,2.18,0.63
2022-05-12,000858,142.15,144.03,145.63,142.05,170686,2699983168.0,2.5,0.4,0.57,0.44
2022-05-13,000858,145.55,142.89,145.82,142.0,152556,2401106192.0,2.65,-0.79,-1.14,0.39
2022-05-16,000858,144.92,141.13,144.93,140.15,177651,2767778352.0,3.35,-1.23,-1.76,0.46
2022-05-17,000858,141.12,142.1,142.44,140.59,133412,2078095648.0,1.31,0.69,0.97,0.34
2022-05-18,000858,142.3,140.53,142.44,139.4,165605,2560375184.0,2.14,-1.1,-1.57,0.43
2022-05-19,000858,138.82,139.47,139.55,138.17,148783,2273068160.0,0.98,-0.75,-1.06,0.38
2022-05-20,000858,140.25,148.42,148.93,139.64,452297,7222107648.0,6.66,6.42,8.95,1.17
2022-05-23,000858,147.56,145.38,148.13,143.95,276453,4410754816.0,2.82,-2.05,-3.04,0.71
2022-05-24,000858,146.38,142.52,146.95,142.23,188552,2974172512.0,3.25,-1.97,-2.86,0.49
2022-05-25,000858,142.4,143.4,144.51,140.95,163957,2565767968.0,2.5,0.62,0.88,0.42
2022-05-26,000858,142.95,143.17,145.65,140.95,194318,3043721248.0,3.28,-0.16,-0.23,0.5
2022-05-27,000858,145.6,143.9,147.45,143.24,210683,3356383648.0,2.94,0.51,0.73,0.54
2022-05-30,000858,145.96,152.13,153.7,145.95,510932,8416468224.0,5.39,5.72,8.23,1.32
2022-05-31,000858,151.95,157.35,158.77,150.97,486545,8293724672.0,5.13,3.43,5.22,1.25
2022-06-01,000858,158.94,156.36,159.25,154.98,219302,3739434432.0,2.71,-0.63,-0.99,0.56
2022-06-02,000858,154.98,155.7,156.95,154.63,165224,2801365552.0,1.48,-0.42,-0.66,0.43
2022-06-06,000858,156.45,158.89,159.44,152.53,278142,4762415104.0,4.44,2.05,3.19,0.72
2022-06-07,000858,159.05,160.07,164.35,157.95,295077,5177758464.0,4.03,0.74,1.18,0.76
2022-06-08,000858,160.25,164.08,165.94,158.97,325279,5770812928.0,4.35,2.51,4.01,0.84
2022-06-09,000858,164.31,161.96,165.85,161.74,207839,3688662160.0,2.5,-1.29,-2.12,0.54
2022-06-10,000858,160.98,163.37,164.45,159.45,215630,3804237568.0,3.09,0.87,1.41,0.56
2022-06-13,000858,161.14,158.46,162.35,157.05,264346,4580799744.0,3.24,-3.01,-4.91,0.68
2022-06-14,000858,156.15,159.75,159.95,155.6,197333,3385240800.0,2.75,0.81,1.29,0.51
2022-06-15,000858,159.77,163.23,165.85,157.74,325441,5743255040.0,5.08,2.18,3.48,0.84
2022-06-16,000858,163.95,163.55,166.95,162.95,205006,3668452192.0,2.45,0.2,0.32,0.53
2022-06-17,000858,162.45,167.13,167.13,162.45,286204,5145018880.0,2.86,2.19,3.58,0.74
2022-06-20,000858,168.71,169.44,172.95,164.95,311954,5705313024.0,4.79,1.38,2.31,0.8
2022-06-21,000858,168.61,167.61,171.45,166.4,218116,3990195904.0,2.98,-1.08,-1.83,0.56
2022-06-22,000858,167.95,164.02,168.83,163.7,223528,4006768448.0,3.06,-2.14,-3.59,0.58
2022-06-23,000858,164.05,166.35,166.85,163.74,159725,2867621360.0,1.9,1.42,2.33,0.41
