日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-10-28,54.23,-0.35,-126640368.0,-4.89,-64031200.0,-2.47,-62609168.0,-2.42,8952720.0,0.35,117687648.0,4.55,-126640368.0,-1.5056144498885102,-1.9999999999999842,,0.23196356632326007
2024-10-29,59.65,9.99,1356930640.0,11.91,1802474720.0,15.83,-445544080.0,-3.91,-875762736.0,-7.69,-481168000.0,-4.22,1356930544.0,2.328347146410758,2.0000001414958186,,2.8924973160118403
2024-10-30,58.47,-1.98,-1216492080.0,-13.62,-1448079024.0,-16.22,231586944.0,2.59,553417152.0,6.2,663074944.0,7.43,-1216492064.0,-2.190372779941126,-2.0000000263051434,,-1.7225012967377236
2024-10-31,61.2,4.67,-251598864.0,-2.42,-383788672.0,-3.69,132189808.0,1.27,256983104.0,2.47,-5384208.0,-0.05,-251598832.0,-2.525399386591737,-2.000000254373192,,0.007871675539919175
2024-11-01,60.45,-1.23,-200255728.0,-2.05,-166742176.0,-1.71,-33513552.0,-0.34,41977568.0,0.43,158278128.0,1.62,-200255760.0,-1.832645932381661,-1.9999996804086833,-87611296.0,0.09994679966360566
2024-11-04,66.5,10.01,674181376.0,7.48,673577088.0,7.48,604288.0,0.01,-347208800.0,-3.85,-326972576.0,-3.63,674181376.0,1.9991036714725239,1.9999999999999971,72553052.8,1.6681020482541244
2024-11-05,71.73,7.86,-504510976.0,-3.78,-145104320.0,-1.09,-359406656.0,-2.7,172683648.0,1.3,331827328.0,2.49,-504510976.0,-1.2876138020830665,-1.999999999999996,-299735251.2,-0.44568351981706433
2024-11-06,72.11,0.53,-1380526944.0,-11.55,-1416176064.0,-11.85,35649120.0,0.3,533984288.0,4.47,846542656.0,7.08,-1380526944.0,-2.025822835370896,-1.9999999999999987,-332542227.2,-2.016670136822205
2024-11-07,75.6,4.84,-243489008.0,-2.37,-177744528.0,-1.73,-65744480.0,-0.64,-64638976.0,-0.63,308127984.0,3.0,-243489008.0,-1.729989946815169,-1.9999999999999918,-330920262.4,0.02241527455598996
2024-11-08,79.44,5.08,-400992944.0,-3.53,-158506800.0,-1.4,-242486144.0,-2.14,102641152.0,0.9,298351792.0,2.63,-400992944.0,-1.3952857584446638,-1.999999999999995,-371067699.2,-0.2600414210069318
2024-11-11,87.38,9.99,669944272.0,4.78,990341344.0,7.07,-320397072.0,-2.29,-586775984.0,-4.19,-83168208.0,-0.59,669944352.0,2.4782440676505586,1.9999997611741909,-371915104.0,1.6605036616458
2024-11-12,83.9,-3.98,-3375138912.0,-21.34,-3035453392.0,-19.19,-339685520.0,-2.15,1656822960.0,10.48,1718315936.0,10.86,-3375138928.0,-1.8993565719082004,-1.9999999905189083,-946040694.4,-5.593669697841705
