日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-10-28,6.14,-2.38,-254601920.0,-7.47,-368353552.0,-10.81,113751632.0,3.34,150844000.0,4.43,103757904.0,3.04,-254601936.0,-2.4467821485850663,-1.9999998743135952,,-2.13893439394232
2024-10-29,6.07,-1.14,24731600.0,1.46,470272.0,0.03,24261328.0,1.43,-43445952.0,-2.56,18714336.0,1.1,24731584.0,1.0190156845594274,2.0000012938919722,,0.4077926286831323
2024-10-30,6.01,-0.99,-15492728.0,-1.17,37847464.0,2.87,-53340192.0,-4.04,12713216.0,0.96,2779504.0,0.21,-15492736.0,1.4429172484445973,-1.999998967257817,,0.04106126500456831
2024-10-31,6.02,0.17,13293008.0,0.83,61897408.0,3.86,-48604400.0,-3.03,-22359104.0,-1.4,9066096.0,0.57,13293008.0,5.65638838101913,1.9999999999998495,,0.30350535732538425
2024-11-01,6.15,2.16,236650080.0,8.58,135820336.0,4.93,100829744.0,3.66,-109766320.0,-3.98,-126883760.0,-4.6,236650080.0,1.573928967190708,1.9999999999999913,916000.0,2.339886422357962
2024-11-04,6.15,0.0,64435559.0,5.08,68495095.0,5.4,-4059536.0,-0.32,-20967040.0,-1.65,-43468526.0,-3.43,64435552.0,2.063001710608422,2.000000217271329,64723497.6,0.7697798624782609
2024-11-05,6.23,1.3,30439280.0,1.56,19980928.0,1.02,10458352.0,0.54,11250032.0,0.58,-41689328.0,-2.14,30439264.0,1.6564200763854982,2.0000010512737103,65865033.6,0.45983043242576527
2024-11-06,6.22,-0.16,36632160.0,1.78,41471536.0,2.01,-4839376.0,-0.23,-48319072.0,-2.34,11686912.0,0.57,36632160.0,2.132107306803581,1.9999999999999456,76290012.8,0.5162920256907235
2024-11-07,6.54,5.14,452492944.0,11.09,340928880.0,8.36,111564064.0,2.73,-296240128.0,-7.26,-156252816.0,-3.83,452492944.0,1.7534457377085602,1.9999999999999956,164130000.0,4.307759287704271
2024-11-08,6.3,-3.67,-497315376.0,-13.58,-368961216.0,-10.08,-128354160.0,-3.51,231099856.0,6.31,266215504.0,7.27,-497315392.0,-1.7419058527752107,-1.999999935654511,17336905.6,-4.351790613811721
2024-11-11,6.19,-1.75,-99579184.0,-4.08,-70140880.0,-2.88,-29438304.0,-1.21,76150624.0,3.12,23428560.0,0.96,-99579184.0,-1.7043729139214305,-1.99999999999998,-15466041.6,-0.7255679220625261
2024-11-12,6.09,-1.62,-131447648.0,-7.03,-145532432.0,-7.78,14084784.0,0.75,78193040.0,4.18,53254608.0,2.85,-131447648.0,-2.107151282006947,-1.999999999999985,-47843424.0,-1.0161176507107972
2024-11-13,6.13,0.66,22388672.0,1.59,16816080.0,1.2,5572592.0,0.4,8394288.0,0.6,-30782962.0,-2.19,22388670.0,1.751097854405744,2.000000178661707,-50692122.0,0.38643191839140834
2024-11-14,6.09,-0.65,-91862020.0,-7.48,-122804900.0,-10.0,30942880.0,2.52,2823488.0,0.23,89038522.0,7.25,-91862030.0,-2.336840585821995,-1.9999997822821682,-159563116.8,-0.6552094322201251
2024-11-15,6.05,-0.66,-9799050.0,-0.81,6154646.0,0.51,-15953696.0,-1.33,4288160.0,0.36,5510880.0,0.46,-9799060.0,-0.37191363253206206,-1.9999979589876988,-62059850.4,0.09297139210737357
2024-11-18,6.28,3.8,261372768.0,6.31,322750848.0,7.79,-61378080.0,-1.48,-131994816.0,-3.19,-129377936.0,-3.12,261372784.0,2.2348295299176892,1.9999998775694947,10130543.2,2.5652871488771796
2024-11-19,6.1,-2.87,-161416960.0,-5.88,-97583712.0,-3.56,-63833248.0,-2.33,20201072.0,0.74,141215872.0,5.15,-161416976.0,-1.6045441961445144,-1.999999801755659,4136677.6,-1.2893526619172058
2024-11-20,6.1,0.0,-26861952.0,-2.14,-23092784.0,-1.84,-3769168.0,-0.3,54471442.0,4.34,-27609493.0,-2.2,-26861955.0,-1.859683556167008,-1.9999997766356918,-5713447.4,-0.06259366782786341
2024-11-21,6.11,0.16,-54034329.0,-4.85,-52673081.0,-4.73,-1361248.0,-0.12,26749008.0,2.4,27285321.0,2.45,-54034329.0,-1.9748077189965296,-1.9999999999999631,1852092.8,-0.3103284156471916
2024-11-22,5.95,-2.62,-191189360.0,-10.88,-109005968.0,-6.2,-82183392.0,-4.68,98248064.0,5.59,92941264.0,5.29,-191189392.0,-1.5701463604214945,-1.9999996652533838,-34425973.6,-1.5607923958812728
2024-11-25,5.89,-1.01,-62139328.0,-4.77,31028432.0,2.38,-93167760.0,-7.15,30710912.0,2.36,31428400.0,2.41,-62139344.0,-0.5006634122175396,-1.999999485028326,-99128399.2,-0.38422309437849683
2024-11-26,5.92,0.51,-22703445.0,-2.41,-9912275.0,-1.05,-12791170.0,-1.36,-11247914.0,-1.19,33951359.0,3.6,-22703445.0,-1.4365978379051534,-1.999999999999912,-71385693.0,-0.02467988723018158
