日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-12-16,29.79,-1.29,-364689472.0,-9.59,-165817584.0,-4.36,-198871888.0,-5.23,-67996400.0,-1.79,432685872.0,11.38
2024-12-17,29.99,0.67,-97866256.0,-2.7,-48752896.0,-1.35,-49113360.0,-1.36,2678736.0,0.07,95187520.0,2.63
2024-12-18,30.05,0.2,-94861024.0,-4.48,-111945952.0,-5.29,17084928.0,0.81,-21713424.0,-1.03,116574448.0,5.51
2024-12-19,30.09,0.13,-140043776.0,-5.03,-47334464.0,-1.7,-92709312.0,-3.33,13693968.0,0.49,126349808.0,4.54
2024-12-20,30.34,0.83,101409344.0,3.42,53947840.0,1.82,47461504.0,1.6,-80269328.0,-2.71,-21140032.0,-0.71
2024-12-23,29.92,-1.38,-260767616.0,-8.28,-255828064.0,-8.12,-4939552.0,-0.16,51866928.0,1.65,208900688.0,6.63
2024-12-24,30.32,1.34,14788384.0,0.45,-82659984.0,-2.53,97448368.0,2.98,25455184.0,0.78,-40243568.0,-1.23
2024-12-25,30.09,-0.76,-337399984.0,-11.91,-413024336.0,-14.57,75624352.0,2.67,102726144.0,3.62,234673856.0,8.28
2024-12-26,30.15,0.2,-209504848.0,-8.56,-197196448.0,-8.06,-12308400.0,-0.5,77380000.0,3.16,132124864.0,5.4
2024-12-27,30.22,0.23,-311645856.0,-5.74,-98184240.0,-1.81,-213461616.0,-3.93,182829920.0,3.37,128815936.0,2.37
2024-12-30,30.51,0.96,167675824.0,4.58,182980496.0,5.0,-15304672.0,-0.42,-57019072.0,-1.56,-110656784.0,-3.02
2024-12-31,29.17,-4.39,-748670800.0,-12.68,-501293936.0,-8.49,-247376864.0,-4.19,76935264.0,1.3,671735552.0,11.38
2025-01-02,27.45,-5.9,-782295792.0,-9.9,-574769600.0,-7.28,-207526192.0,-2.63,-4210096.0,-0.05,786505888.0,9.96
2025-01-03,26.97,-1.75,22158240.0,0.44,237179152.0,4.75,-215020912.0,-4.3,-244142592.0,-4.88,221984336.0,4.44
2025-01-06,27.06,0.33,107718640.0,3.24,200345808.0,6.02,-92627168.0,-2.78,-172570064.0,-5.18,64851440.0,1.95
2025-01-07,27.16,0.37,133148896.0,5.02,211129024.0,7.97,-77980128.0,-2.94,-127749584.0,-4.82,-5399328.0,-0.2
