日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,资产总计,负债合计,归属于母公司股东权益合计,资产负债率,权益乘数,营业收入,净利润,营业总成本,营业利润,利润总额,净利润增长率,营收增长率,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,大单净流入-净额,中单净流入-净额,小单净流入-净额,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2022-04-25,-0.02974640867285802,-0.35143509287680363,0.048975219841490426,-0.27624675126591075,1.3761660922381038,1.6073559126120904,2.1078642303207014,-2.523450640591861,1.3965469341025225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004708750831323154,0.006137018022853266,-0.0028785172986677235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,-0.38986443705417645,-0.160495582965991,-0.16614624795870728,-0.29181726263610125,0.8492147645771698,1.0003953363331906,0.9010680412663842,0.9560609379825715,0.8140439373100644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07639039335818254,0.021622739479631076,0.16681323028192582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-27,0.10235602642223782,0.32652496437188694,0.31084183217094424,0.23072909894748955,1.5931119654250994,1.949896068410236,0.5407052903682203,2.4321702308154443,1.6149855578996943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31456937877285124,0.08546624003924673,0.6967153125310727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,0.3020529318113217,0.6391416129513585,0.5844338152017169,0.38160735412463587,0.8171132651793078,1.126835847245416,1.2446697339832384,1.5626811953111492,0.8140439373100644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6150067913385796,0.20144594392082196,1.268021175071191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,0.6338522722955015,0.587506827182992,0.6157014704052337,0.5721904132957654,0.2883656442307677,0.5218957186816074,0.1635814812887462,-0.25329098528145216,0.304353815116664,0.20994596462999132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8240527686417186,0.3393908900299914,1.5087151814844437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.58755468990236,0.6547412461140067,0.7798566602236973,0.7123250156274795,0.2174410318427115,0.46740222120517744,0.31443100492053594,0.3393303430318507,0.23154094051760668,0.41421565691025786,0.0,0.0,0.0,0.0,1.8051992385971778,0.0,0.0,1.0037388155388758,0.48856526644330617,1.631766707237598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,0.47173357128218485,0.31154931653574586,0.38119405637885717,0.33878844785661216,-0.07605011337420417,0.0663887904120305,0.15520095219809138,-1.7068464480341599,-0.05971055787862237,0.51004822882345,0.0,0.0,0.0,0.0,0.9565388363484064,0.0,0.0,1.0042939703475844,0.6080247002712288,1.306151878723088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,0.20174150329284876,-0.008243163298542714,0.07633441814456769,0.004022453397517394,0.02570120962696146,0.13455248344483225,0.4149973540083954,-1.5901887062402027,0.013102316720434746,0.44208501027562747,0.0,0.0,0.0,0.0,0.27814765251144935,0.0,0.0,0.8732825975976031,0.6752892459714523,0.7342029510684291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,-0.26123432063856483,0.10243623399044507,0.11510631059692711,-0.2528131316537742,0.5916494851123741,0.7538316415563984,2.4430853939469,0.555924883629298,0.5956053135128928,0.333125339532954,0.0,0.0,0.0,0.0,-0.25347191642350647,0.0,0.0,0.8022908382555738,0.7137641997751594,0.4187280683070723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,0.008834909988093111,0.11655390200264307,0.14262184717602183,0.11301603298885057,0.023441356781263592,0.15222370271569563,0.1635814812887462,0.07451726915956776,0.013102316720434746,0.23751445565789378,0.22772286735483208,0.0,0.0,0.0,-0.9889822602040708,0.0,0.0,0.7428812501532649,0.7317096308405755,0.1937666029869413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
