日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-10-28,434.7,3.04,-10302704.0,-0.27,145162224.0,3.75,-155464928.0,-4.01,13501520.0,0.35,-3198815.0,-0.08
2024-10-29,434.01,-0.16,-4401552.0,-0.09,22402320.0,0.44,-26803872.0,-0.53,8228096.0,0.16,-3826538.0,-0.08
2024-10-30,445.25,2.59,-155302224.0,-3.48,-268115792.0,-6.01,112813568.0,2.53,158833728.0,3.56,-3531512.0,-0.08
2024-10-31,453.6,1.88,106609680.0,1.75,283296432.0,4.64,-176686752.0,-2.9,-101884320.0,-1.67,-4725354.0,-0.08
2024-11-01,411.01,-9.39,-291142096.0,-4.98,-666741808.0,-11.41,375599712.0,6.43,294754112.0,5.05,-3611999.0,-0.06
2024-11-04,410.94,-0.02,-190886256.0,-5.57,-15386128.0,-0.45,-175500128.0,-5.12,193201920.0,5.63,-2315675.0,-0.07
2024-11-05,437.86,6.55,191596480.0,3.74,197807056.0,3.86,-6210576.0,-0.12,-187805536.0,-3.67,-3790926.0,-0.07
2024-11-06,456.0,4.14,14535360.0,0.28,85351936.0,1.65,-70816576.0,-1.37,-10335120.0,-0.2,-4200235.0,-0.08
2024-11-07,476.0,4.39,27129248.0,0.51,65340624.0,1.24,-38211376.0,-0.72,-23431616.0,-0.44,-3697654.0,-0.07
2024-11-08,431.0,-9.45,-457320544.0,-4.71,-818034640.0,-8.42,360714096.0,3.71,462802464.0,4.76,-5481937.0,-0.06
2024-11-11,430.51,-0.11,-213421120.0,-3.22,-226554624.0,-3.41,13133504.0,0.2,217801376.0,3.28,-4380258.0,-0.07
2024-11-12,422.99,-1.75,-446097696.0,-9.18,-341616736.0,-7.03,-104480960.0,-2.15,449025872.0,9.24,-2928183.0,-0.06
2024-11-13,474.0,12.06,-99552240.0,-1.34,611822336.0,8.25,-711374576.0,-9.59,106265520.0,1.43,-6713295.0,-0.09
2024-11-14,469.0,-1.05,-254775312.0,-5.09,-149074752.0,-2.98,-105700560.0,-2.11,258592816.0,5.17,-3817480.0,-0.08
2024-11-15,453.68,-3.27,-103050064.0,-2.35,-52075536.0,-1.19,-50974528.0,-1.16,106380560.0,2.42,-3330494.0,-0.08
2024-11-18,448.66,-1.11,-21726688.0,-0.58,13905792.0,0.37,-35632480.0,-0.95,24028016.0,0.64,-2301352.0,-0.06
2024-11-19,461.0,2.75,17006496.0,0.39,-83628224.0,-1.93,100634720.0,2.33,-14752752.0,-0.34,-2253758.0,-0.05
2024-11-20,475.0,3.04,298131296.0,6.89,558868000.0,12.91,-260736704.0,-6.02,-295072992.0,-6.82,-3058322.0,-0.07
2024-11-21,514.32,8.28,248258896.0,4.1,437378368.0,7.22,-189119472.0,-3.12,-243223856.0,-4.01,-5035011.0,-0.08
2024-11-22,492.0,-4.34,-108987408.0,-2.49,102521296.0,2.34,-211508704.0,-4.84,111912192.0,2.56,-2924770.0,-0.07
2024-11-25,489.0,-0.61,129152032.0,2.98,115346208.0,2.66,13805824.0,0.32,-126464544.0,-2.92,-2687490.0,-0.06
2024-11-26,485.9,-0.63,-16075680.0,-0.73,-68397568.0,-3.1,52321888.0,2.37,18313776.0,0.83,-2238107.0,-0.1
2024-11-27,534.55,10.01,351723840.0,6.91,527544672.0,10.37,-175820832.0,-3.46,-348725424.0,-6.85,-2998406.0,-0.06
2024-11-28,546.03,2.15,-99182624.0,-1.63,24258368.0,0.4,-123440992.0,-2.03,103501952.0,1.7,-4319347.0,-0.07
2024-11-29,561.0,2.74,-81360.0,-0.0,96453024.0,1.85,-96534384.0,-1.85,3346144.0,0.06,-3264779.0,-0.06
2024-12-02,562.0,0.18,46342160.0,0.92,125016528.0,2.49,-78674368.0,-1.56,-43457472.0,-0.86,-2884674.0,-0.06
2024-12-03,569.99,1.42,-17690608.0,-0.39,-68277376.0,-1.5,50586768.0,1.11,20265616.0,0.45,-2575010.0,-0.06
2024-12-04,552.6,-3.05,-439555200.0,-8.8,-179156464.0,-3.59,-260398736.0,-5.21,442114720.0,8.85,-2559526.0,-0.05
2024-12-05,570.12,3.17,-37389200.0,-1.18,124132816.0,3.91,-161522016.0,-5.09,40053584.0,1.26,-2664382.0,-0.08
2024-12-06,553.6,-2.9,-331493584.0,-9.52,-126827152.0,-3.64,-204666432.0,-5.88,332819648.0,9.56,-1326061.0,-0.04
2024-12-09,539.0,-2.64,-88494560.0,-1.95,-381625408.0,-8.41,293130848.0,6.46,89770400.0,1.98,-1275815.0,-0.03
2024-12-10,538.43,-0.11,-49310736.0,-1.0,-133060432.0,-2.69,83749696.0,1.69,52069568.0,1.05,-2758842.0,-0.06
2024-12-11,544.8,1.18,21199328.0,0.6,30843648.0,0.88,-9644320.0,-0.27,-19036992.0,-0.54,-2162351.0,-0.06
2024-12-12,576.99,5.91,281852064.0,5.84,35568320.0,0.74,246283744.0,5.11,-278531664.0,-5.77,-3320400.0,-0.07
2024-12-13,568.0,-1.56,-276389088.0,-4.2,-171997712.0,-2.62,-104391376.0,-1.59,280728128.0,4.27,-4339037.0,-0.07
2024-12-16,575.25,1.28,255924800.0,5.93,240178144.0,5.56,15746656.0,0.36,-253554272.0,-5.87,-2370515.0,-0.05
2024-12-17,570.0,-0.91,-129139056.0,-3.9,-178412448.0,-5.39,49273392.0,1.49,130705792.0,3.95,-1566731.0,-0.05
2024-12-18,617.55,8.34,369172464.0,7.13,240549136.0,4.64,128623328.0,2.48,-364486832.0,-7.04,-4685635.0,-0.09
2024-12-19,636.02,2.99,60216720.0,1.12,282582448.0,5.25,-222365728.0,-4.13,-55381824.0,-1.03,-4834902.0,-0.09
2024-12-20,675.95,6.28,121237536.0,1.98,484267024.0,7.91,-363029488.0,-5.93,-117365792.0,-1.92,-3871732.0,-0.06
