datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率
2025-03-07 09:35:00,131.2,131.93,131.99,130.91,0.19,0.25,15710,206498050.0,0.82,0.04
2025-03-07 09:40:00,131.93,131.35,131.98,131.34,-0.44,-0.58,6936,91321792.0,0.49,0.02
2025-03-07 09:45:00,131.36,131.9,131.9,131.12,0.42,0.55,5682,74695257.0,0.59,0.01
2025-03-07 09:50:00,131.91,131.68,132.0,131.53,-0.17,-0.22,4780,62981695.0,0.36,0.01
2025-03-07 09:55:00,131.67,131.7,131.79,131.55,0.02,0.02,3003,39547466.0,0.18,0.01
2025-03-07 10:00:00,131.69,131.9,131.9,131.57,0.15,0.2,4792,63117321.0,0.25,0.01
2025-03-07 10:05:00,131.88,132.01,132.45,131.75,0.08,0.11,11805,155994845.0,0.53,0.03
2025-03-07 10:10:00,132.0,131.88,132.1,131.78,-0.1,-0.13,3781,49891866.0,0.24,0.01
2025-03-07 10:15:00,131.88,131.95,131.95,131.61,0.05,0.07,2685,35387506.0,0.26,0.01
2025-03-07 10:20:00,131.94,132.13,132.2,131.9,0.14,0.18,2507,33103759.0,0.23,0.01
2025-03-07 10:25:00,132.01,132.03,132.08,131.85,-0.08,-0.1,3256,42968118.0,0.17,0.01
2025-03-07 10:30:00,131.85,131.86,132.06,131.81,-0.13,-0.17,2670,35227273.0,0.19,0.01
2025-03-07 10:35:00,131.81,131.75,131.82,131.56,-0.08,-0.11,2768,36440409.0,0.2,0.01
2025-03-07 10:40:00,131.73,131.71,131.82,131.66,-0.03,-0.04,1270,16731106.0,0.12,0.0
2025-03-07 10:45:00,131.7,131.62,131.7,131.6,-0.07,-0.09,2363,31108757.0,0.08,0.01
2025-03-07 10:50:00,131.62,131.48,131.67,131.48,-0.11,-0.14,2338,30756257.0,0.14,0.01
2025-03-07 10:55:00,131.5,131.43,131.51,131.38,-0.04,-0.05,2476,32549091.0,0.1,0.01
2025-03-07 11:00:00,131.47,131.66,131.74,131.43,0.17,0.23,2082,27404386.0,0.24,0.01
2025-03-07 11:05:00,131.66,131.59,131.68,131.57,-0.05,-0.07,835,10990979.0,0.08,0.0
2025-03-07 11:10:00,131.59,131.68,131.75,131.56,0.07,0.09,928,12214928.0,0.14,0.0
2025-03-07 11:15:00,131.69,131.66,131.74,131.6,-0.02,-0.02,827,10889365.0,0.11,0.0
2025-03-07 11:20:00,131.67,131.68,131.95,131.66,0.02,0.02,1238,16313447.0,0.22,0.0
2025-03-07 11:25:00,131.68,132.05,132.06,131.68,0.28,0.37,2718,35866203.0,0.29,0.01
2025-03-07 11:30:00,132.05,131.98,132.07,131.87,-0.05,-0.07,1480,19532293.0,0.15,0.0
2025-03-07 13:05:00,131.99,132.81,132.96,131.87,0.63,0.83,14684,194484951.0,0.83,0.04
2025-03-07 13:10:00,132.77,134.7,134.74,132.77,1.42,1.89,36838,492998175.0,1.48,0.09
2025-03-07 13:15:00,134.66,133.66,134.77,133.63,-0.77,-1.04,13806,185073699.0,0.85,0.04
2025-03-07 13:20:00,133.61,133.92,134.1,133.61,0.19,0.26,9829,131640998.0,0.37,0.03
2025-03-07 13:25:00,133.99,134.06,134.3,133.99,0.1,0.14,10232,137250523.0,0.23,0.03
2025-03-07 13:30:00,134.1,133.92,134.16,133.9,-0.1,-0.14,5082,68092169.0,0.19,0.01
2025-03-07 13:35:00,133.91,133.97,134.0,133.85,0.04,0.05,6457,86482325.0,0.11,0.02
2025-03-07 13:40:00,133.96,133.96,134.1,133.84,-0.01,-0.01,7212,96620944.0,0.19,0.02
2025-03-07 13:45:00,133.96,133.81,134.01,133.8,-0.11,-0.15,9136,122382788.0,0.16,0.02
2025-03-07 13:50:00,133.88,133.88,133.96,133.81,0.05,0.07,6732,90119505.0,0.11,0.02
2025-03-07 13:55:00,133.87,133.96,133.97,133.85,0.06,0.08,5125,68643686.0,0.09,0.01
2025-03-07 14:00:00,133.95,133.95,133.98,133.9,-0.01,-0.01,4062,54416547.0,0.06,0.01
2025-03-07 14:05:00,133.96,133.98,133.98,133.94,0.02,0.03,3894,52166185.0,0.03,0.01
2025-03-07 14:10:00,133.95,133.93,134.15,133.84,-0.04,-0.05,9828,131700253.0,0.23,0.03
2025-03-07 14:15:00,133.93,134.07,134.12,133.93,0.1,0.14,6028,80794326.0,0.14,0.02
2025-03-07 14:20:00,134.05,134.09,134.1,133.96,0.01,0.02,5641,75616922.0,0.1,0.01
2025-03-07 14:25:00,134.08,134.2,134.25,134.07,0.08,0.11,7598,101950112.0,0.13,0.02
2025-03-07 14:30:00,134.2,134.0,134.27,133.94,-0.15,-0.2,5285,70895391.0,0.25,0.01
2025-03-07 14:35:00,134.0,133.91,134.06,133.88,-0.07,-0.09,7031,94201794.0,0.13,0.02
2025-03-07 14:40:00,133.94,133.97,134.03,133.8,0.04,0.06,8138,109017921.0,0.17,0.02
2025-03-07 14:45:00,133.96,133.97,134.0,133.94,0.0,0.0,6678,89470485.0,0.04,0.02
2025-03-07 14:50:00,133.97,134.22,134.28,133.97,0.19,0.25,18529,248572965.0,0.23,0.05
2025-03-07 14:55:00,134.28,134.5,134.5,134.24,0.21,0.28,22853,307235818.0,0.19,0.06
2025-03-07 15:00:00,134.49,134.8,134.8,134.46,0.22,0.3,20444,275362856.0,0.25,0.05
2025-03-10 09:35:00,134.5,134.08,134.5,132.93,-0.53,-0.72,19473,260311541.0,1.16,0.05
2025-03-10 09:40:00,133.9,132.87,134.08,132.68,-0.9,-1.21,17108,228058277.0,1.04,0.04
2025-03-10 09:45:00,132.8,132.29,132.87,132.21,-0.44,-0.58,14954,198271911.0,0.5,0.04
2025-03-10 09:50:00,132.32,132.4,132.54,132.1,0.08,0.11,10777,142624663.0,0.33,0.03
2025-03-10 09:55:00,132.42,132.5,132.51,132.2,0.08,0.1,6227,82438558.0,0.23,0.02
2025-03-10 10:00:00,132.51,132.36,132.52,132.34,-0.11,-0.14,5235,69330160.0,0.14,0.01
2025-03-10 10:05:00,132.33,132.41,132.5,132.2,0.04,0.05,5576,73758759.0,0.23,0.01
2025-03-10 10:10:00,132.41,132.76,132.76,132.41,0.26,0.35,2755,36528039.0,0.26,0.01
2025-03-10 10:15:00,132.76,132.69,132.79,132.46,-0.05,-0.07,2829,37536867.0,0.25,0.01
2025-03-10 10:20:00,132.68,132.96,132.98,132.5,0.2,0.27,2645,35105696.0,0.36,0.01
2025-03-10 10:25:00,132.98,132.77,133.15,132.71,-0.14,-0.19,4198,55822206.0,0.33,0.01
2025-03-10 10:30:00,132.79,132.72,132.89,132.7,-0.04,-0.05,1854,24617479.0,0.14,0.0
2025-03-10 10:35:00,132.72,132.68,132.8,132.61,-0.03,-0.04,2307,30613616.0,0.14,0.01
2025-03-10 10:40:00,132.67,132.67,132.71,132.58,-0.01,-0.01,1800,23880755.0,0.1,0.0
2025-03-10 10:45:00,132.68,132.96,133.21,132.67,0.22,0.29,3313,44051199.0,0.41,0.01
2025-03-10 10:50:00,132.97,132.85,132.97,132.75,-0.08,-0.11,1454,19316877.0,0.17,0.0
2025-03-10 10:55:00,132.84,132.68,132.85,132.65,-0.13,-0.17,1972,26168620.0,0.15,0.01
2025-03-10 11:00:00,132.68,132.66,132.72,132.62,-0.02,-0.02,1131,15006498.0,0.08,0.0
2025-03-10 11:05:00,132.66,132.33,132.67,132.25,-0.25,-0.33,4359,57716044.0,0.32,0.01
2025-03-10 11:10:00,132.33,132.3,132.35,132.25,-0.02,-0.03,2054,27173842.0,0.08,0.01
2025-03-10 11:15:00,132.28,132.15,132.31,132.08,-0.11,-0.15,5953,78674475.0,0.17,0.02
2025-03-10 11:20:00,132.15,132.24,132.28,132.06,0.07,0.09,1969,26021296.0,0.17,0.01
2025-03-10 11:25:00,132.23,132.04,132.23,131.86,-0.15,-0.2,8276,109259220.0,0.28,0.02
2025-03-10 11:30:00,132.01,132.24,132.24,132.0,0.15,0.2,1525,20147303.0,0.18,0.0
2025-03-10 13:05:00,132.22,132.11,132.24,132.0,-0.1,-0.13,3891,51397961.0,0.18,0.01
2025-03-10 13:10:00,132.11,131.8,132.11,131.78,-0.23,-0.31,3948,52075526.0,0.25,0.01
