报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,,30155271097.22,,,,,,,,,,,44107580.49,312166222.37,30511544900.08,3481321090.34,,,,,,2721446476.72,11426015428.67,1447952900.3,19076735896.03,11434809004.05,,37264700000.0,348503880.51,2017365.13,,,,,37615221245.64,404573128.12,35809000000.0,,,,,36213573128.12,1401648117.52,,,,,,,0.0,,5331243650.14,,352659575.0,5683903225.14,-5683903225.14,-34659.18,7152519237.25,3774741805.08,,,,,10927261042.33,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:50:09
20240630,,21595087989.57,,,,,,,,,,,25070250.38,146600877.14,21766759117.09,2690323428.81,,,,,,2045300432.3,8535344104.32,565696739.69,13836664705.12,7930094411.97,,21864700000.0,224402735.07,56652.0,,,,,22089159387.07,82991996.53,20109000000.0,,,,,20191991996.53,1897167390.54,,,,,,,0.0,,,,192659575.0,192659575.0,-192659575.0,-34659.18,9634567568.33,3774745389.98,13409312958.31,3774745389.98,,,13409312958.31,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T17:25:06
20240331,,14201731396.64,,,,,,,,,,,4171611.01,63403481.1,14269306488.75,1322624788.04,,,,,,1384994943.37,4031076406.68,489467835.55,7228163973.64,7041142515.11,,14659000000.0,183403697.96,36252.0,,,,,14842439949.96,38079458.48,20109000000.0,,,,,20147079458.48,-5304639508.52,,,,,,,0.0,,,,2659575.0,2659575.0,-2659575.0,-352.61,1733843078.98,3774741805.08,,,,,5508584884.06,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T19:05:09
20231231,,30131095571.49,,,,,,,,,,,20369578.93,427834806.53,30579299956.95,5667454822.04,,,,,,3474100285.7,12633071841.37,1579589547.45,23354216496.56,7225083460.39,,27464000000.0,356182779.07,2868244.4,,,,,27823051023.47,485035030.78,37558000000.0,,,,,38043035030.78,-10219984007.31,,,,,,,0.0,,4032371231.36,,399242069.51,4431613300.87,-4431613300.87,40698.57,-7426473149.22,11201218539.2,3774745389.98,11201218539.2,,,3774745389.98,定期报告,是,20240426,CNY,合并期末,2024-04-25T19:05:09
