datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率
2025-03-11 09:35:00,5.34,5.32,5.34,5.31,-0.75,-0.04,186115,99152231.0,0.56,0.05
2025-03-11 09:40:00,5.32,5.33,5.33,5.31,0.19,0.01,43520,23154762.0,0.38,0.01
2025-03-11 09:45:00,5.32,5.33,5.34,5.32,0.0,0.0,61373,32709338.0,0.38,0.01
2025-03-11 09:50:00,5.33,5.33,5.34,5.32,0.0,0.0,57819,30811219.0,0.38,0.01
2025-03-11 09:55:00,5.32,5.33,5.34,5.32,0.0,0.0,30229,16114497.0,0.38,0.01
2025-03-11 10:00:00,5.33,5.34,5.34,5.32,0.19,0.01,37522,20009097.0,0.38,0.01
2025-03-11 10:05:00,5.33,5.33,5.34,5.33,-0.19,-0.01,25652,13674507.0,0.19,0.01
2025-03-11 10:10:00,5.33,5.33,5.34,5.32,0.0,0.0,16201,8634417.0,0.38,0.0
2025-03-11 10:15:00,5.33,5.33,5.34,5.33,0.0,0.0,9481,5056050.0,0.19,0.0
2025-03-11 10:20:00,5.33,5.34,5.35,5.33,0.19,0.01,60484,32303898.0,0.38,0.01
2025-03-11 10:25:00,5.34,5.33,5.35,5.33,-0.19,-0.01,21528,11500912.0,0.37,0.01
2025-03-11 10:30:00,5.33,5.34,5.34,5.33,0.19,0.01,9462,5049023.0,0.19,0.0
2025-03-11 10:35:00,5.33,5.33,5.34,5.33,-0.19,-0.01,6631,3536118.0,0.19,0.0
2025-03-11 10:40:00,5.34,5.34,5.34,5.33,0.19,0.01,4925,2627145.0,0.19,0.0
2025-03-11 10:45:00,5.34,5.33,5.34,5.32,-0.19,-0.01,50631,26986157.0,0.37,0.01
2025-03-11 10:50:00,5.32,5.33,5.33,5.32,0.0,0.0,14144,7532313.0,0.19,0.0
2025-03-11 10:55:00,5.33,5.32,5.33,5.32,-0.19,-0.01,28757,15316247.0,0.19,0.01
2025-03-11 11:00:00,5.32,5.33,5.34,5.32,0.19,0.01,10105,5384661.0,0.38,0.0
2025-03-11 11:05:00,5.33,5.32,5.34,5.32,-0.19,-0.01,14651,7805480.0,0.38,0.0
2025-03-11 11:10:00,5.32,5.31,5.33,5.31,-0.19,-0.01,82235,43756529.0,0.38,0.02
2025-03-11 11:15:00,5.31,5.32,5.32,5.31,0.19,0.01,7686,4085303.0,0.19,0.0
2025-03-11 11:20:00,5.31,5.32,5.32,5.31,0.0,0.0,8139,4326296.0,0.19,0.0
2025-03-11 11:25:00,5.31,5.32,5.32,5.31,0.0,0.0,21579,11473893.0,0.19,0.01
2025-03-11 11:30:00,5.31,5.33,5.33,5.31,0.19,0.01,30128,16029394.0,0.38,0.01
