,mean,std,min,max
0,-0.025714358697795515,0.9811947180779855,-3.0758377048961085,4.530862703784397
1,-0.025950482163382523,0.980588199395769,-3.0175564700455655,4.081382100074256
2,-0.025317812452722927,0.9814931435951536,-3.0517350210223597,4.417588443285652
3,-0.02604555359879383,0.9804070386312829,-3.0317569525051176,3.83378638117081
4,-0.011030450188870845,0.9889474405212137,-1.6270643480686757,14.26026570154804
5,-0.014881163142497048,0.9891053341338829,-1.571111153944578,14.379148064853226
6,-0.02347825555433801,0.9818872461656578,-3.0758377048961085,4.530862703784397
7,-0.023379371864829444,0.9812635336195852,-3.0175564700455655,4.081382100074256
8,-0.023116721395832762,0.982193298381458,-3.0517350210223597,4.417588443285652
9,-0.023518846556919142,0.981158553038759,-3.0317569525051176,3.83378638117081
10,-0.012359078673130635,0.987209172623966,-1.6270643480686757,14.26026570154804
11,-0.015625726993264324,0.988174218680648,-1.571111153944578,14.379148064853226
12,-0.020913172315088574,0.9825679619417144,-3.0758377048961085,4.530862703784397
13,-0.02081429610466687,0.9817705179523459,-3.0175564700455655,4.081382100074256
14,-0.02074858443248212,0.9827523707626744,-3.0517350210223597,4.417588443285652
15,-0.02083168998841629,0.9818101441305266,-3.0317569525051176,3.83378638117081
16,-0.013371761369720705,0.9868695238022739,-1.6270643480686757,14.26026570154804
17,-0.016118618648987924,0.9880861944918563,-1.571111153944578,14.379148064853226
18,-0.0183259787229233,0.9830224245068152,-3.021896663040676,4.530862703784397
19,-0.018541589086542784,0.9822965882433974,-3.0175564700455655,4.081382100074256
20,-0.018441433601997716,0.9832585679652608,-3.0517350210223597,4.417588443285652
21,-0.0182530983281816,0.9822884168944029,-3.0317569525051176,3.83378638117081
22,-0.013757762332174215,0.9866675683512932,-1.6270643480686757,14.26026570154804
23,-0.016019972416023463,0.9881822322836299,-1.571111153944578,14.379148064853226
24,-0.01603300320872395,0.9835868151749312,-3.021896663040676,4.530862703784397
25,-0.016326531398309335,0.9828330361512541,-3.0175564700455655,4.081382100074256
