datetime,open,close,high,low,涨跌幅,涨跌额,volume,amount,振幅,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower
2025-03-11 09:35:00,5.34,5.32,5.34,5.31,-0.75,-0.04,186115,99152231.0,0.56,0.05,,,,,,,,,0.0,0.0,0.0,,
2025-03-11 09:40:00,5.32,5.33,5.33,5.31,0.19,0.01,43520,23154762.0,0.38,0.01,,,,,,,,,0.000797720797720558,0.0001595441595441116,0.0006381766381764464,,
2025-03-11 09:45:00,5.32,5.33,5.34,5.32,0.0,0.0,61373,32709338.0,0.38,0.01,,,,,,,,,0.001413624889408105,0.0004103603055169103,0.0010032645838911947,,
2025-03-11 09:50:00,5.33,5.33,5.34,5.32,0.0,0.0,57819,30811219.0,0.38,0.01,,,,,,,,,0.0018800611448392957,0.0007043004733813874,0.0011757606714579082,,
2025-03-11 09:55:00,5.32,5.33,5.34,5.32,0.0,0.0,30229,16114497.0,0.38,0.01,5.328,,,,,,,,0.002224077457273488,0.0010082558701598075,0.0012158215871136803,,
2025-03-11 10:00:00,5.33,5.34,5.34,5.32,0.19,0.01,37522,20009097.0,0.38,0.01,5.332,,,,,100.0,,,0.003265981092857473,0.0014598009146993406,0.0018061801781581322,,
2025-03-11 10:05:00,5.33,5.33,5.34,5.33,-0.19,-0.01,25652,13674507.0,0.19,0.01,5.331999999999999,,,,,66.66666666666666,,,0.003247347404578882,0.001817310212675249,0.0014300371919036328,,
2025-03-11 10:10:00,5.33,5.33,5.34,5.32,0.0,0.0,16201,8634417.0,0.38,0.0,5.332,,,,,50.0,,,0.0031957415530268207,0.0020929964807455638,0.001102745072281257,,
2025-03-11 10:15:00,5.33,5.33,5.34,5.33,0.0,0.0,9481,5056050.0,0.19,0.0,5.331999999999999,,,,,50.0,,,0.003118890910893235,0.002298175366775098,0.0008207155441181369,,
2025-03-11 10:20:00,5.33,5.34,5.35,5.33,0.19,0.01,60484,32303898.0,0.38,0.01,5.3340000000000005,5.331,,,,66.66666666666666,,,0.003820858175194175,0.0026027119284589137,0.0012181462467352614,,
2025-03-11 10:25:00,5.34,5.33,5.35,5.33,-0.19,-0.01,21528,11500912.0,0.37,0.01,5.332,5.332,,,,50.0,,,0.0035295691865391277,0.0027880833800749565,0.0007414858064641711,,
2025-03-11 10:30:00,5.33,5.34,5.34,5.33,0.19,0.01,9462,5049023.0,0.19,0.0,5.334,5.333,,,,50.0,66.66666666666666,,0.004058849104982443,0.003042236525056454,0.0010166125799259888,,
2025-03-11 10:35:00,5.33,5.33,5.34,5.33,-0.19,-0.01,6631,3536118.0,0.19,0.0,5.3340000000000005,5.333,,,,50.0,57.142857142857146,,0.0036295516153863616,0.0031596995431224357,0.00046985207226392595,,
2025-03-11 10:40:00,5.34,5.34,5.34,5.33,0.19,0.01,4925,2627145.0,0.19,0.0,5.336,5.334,,,,60.0,57.142857142857146,,0.0040495658145314195,0.0033376727974042328,0.0007118930171271867,,
