报告日,资产,现金及存放中央银行款项,其中:现金,存放中央银行款,结算准备金,贵金属,存放同业款项,专项央行票据,央行专项扶持资金,存出保证金,拆出资金,其中:拆放同业,拆放金融性公司,存放联行款项,存出发钞基金,交易性金融资产,买入返售金融资产,应收账款,应收票据,应收款项融资,预付账款,应收利息,应收股利,应收租赁款,贴现,进出口押汇,发放贷款及垫款净额,发放贷款及垫款,减:贷款损失准备,代理业务资产,委托贷款及委托投资,存货,待处理抵债资产,减:抵债资产减值准备,待处理抵债资产净额,待摊费用,可供出售金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,长期股权投资,其中:投资子公司,债权投资,其他债权投资,投资性房地产,衍生金融工具资产,其他权益工具投资,长期应收款,固定资产原值,减:累计折旧,固定资产净值,减:固定资产减值准备,在建工程,固定资产净额,固定资产清理,固定资产合计,融资租赁资产,预付租赁资产款,划分为持有待售的资产,减:未确认的收益,应收投资款项,其他应收款,合同资产,使用权资产,无形资产,商誉,长期待摊费用,递延税款借项,其他资产,减:不良资产处置损失专项准备,资产总计,负债,短期借款,向中央银行借款,发行货币债务,同业存入及拆入,其中:同业存放款项,拆入资金,客户存款(吸收存款),联行存放款项,外国政府借款,借入其他资金,央行拨付专项票据资金,保证款项,财政拨款,委托存款,衍生金融工具负债,交易性金融负债,卖出回购金融资产款,票据融资,应解汇款及临时存款,发行存款证,汇出汇款,应付票据,应付账款,预收账款,应付职工薪酬,其中:应付工资,应付福利费,应交税费,应付利息,应付股利,其他应付款,代理业务负债,划分为持有待售的负债,存入保证金,合同负债,贴现负债,预提费用,预计负债,递延收益,长期借款,应付债券,其中:应付次级债券,应付债券：优先股,应付债券：永续债,长期应付款,租赁负债,专项应付款,递延所得税负债,货币兑换,其他负债,负债合计,股东权益,股本,其他权益工具,其中:优先股,其中：永续债,资本公积,其他综合收益,可供出售类投资未实现损益(公允价值变动储备),持有至到期投资未结转损益,减:库藏股,盈余公积,一般风险准备,未确定的投资损失,信托赔偿准备金,未分配利润,其中:拟分配现金股利,外币报表折算差额,其他储备,归属于母公司股东的权益,少数股东权益,负债及股东权益总计,数据源,是否审计,公告日期,币种,类型,更新日期
2024-12-31,,394940000000.0,,,,6731000000.0,107117000000.0,,,,377748000000.0,,,,,923189000000.0,177518000000.0,,,,,,,,,,5608859000000.0,5736610000000.0,145633000000.0,,,,,,,,,,,3917000000.0,,1896064000000.0,630916000000.0,,70524000000.0,4011000000.0,113627000000.0,49262000000.0,19984000000.0,29278000000.0,409000000.0,1862000000.0,28869000000.0,,30731000000.0,,,,,,,,9314000000.0,1122000000.0,532000000.0,,67259000000.0,82493000000.0,,10507898000000.0,,,91419000000.0,,2168973000000.0,1832111000000.0,336862000000.0,5630360000000.0,,,,,,,,74890000000.0,26740000000.0,261996000000.0,,,,,,,,36560000000.0,,,9385000000.0,,,,,,,,,,6364000000.0,,,1252987000000.0,,,,,9304000000.0,,151000000.0,,45158000000.0,9614287000000.0,,20774000000.0,118960000000.0,55842000000.0,59960000000.0,74733000000.0,5561000000.0,,,,10684000000.0,125365000000.0,,,525831000000.0,,,,881908000000.0,11703000000.0,10507898000000.0,定期报告,是,20250328,CNY,合并期末,2025-03-27T20:50:13
2024-09-30,,332647000000.0,,,,34282000000.0,161591000000.0,,,,342014000000.0,,,,,923313000000.0,134675000000.0,,,,,,,,,,5614095000000.0,5741603000000.0,145069000000.0,,,,,,,,,,,3913000000.0,,1825820000000.0,595262000000.0,,54237000000.0,3786000000.0,113627000000.0,49262000000.0,19984000000.0,29278000000.0,409000000.0,2436000000.0,27999000000.0,,30435000000.0,,,,,,,,9378000000.0,1066000000.0,532000000.0,,61398000000.0,62469000000.0,,10307428000000.0,,,199902000000.0,,2024428000000.0,1700165000000.0,324263000000.0,5521282000000.0,,,,,,,,50658000000.0,27319000000.0,321746000000.0,,,,,,,,34569000000.0,,,8953000000.0,,,,,,,,,,7205000000.0,,,1171050000000.0,,,,,9384000000.0,,45000000.0,,51353000000.0,9427894000000.0,,20774000000.0,118934000000.0,55842000000.0,59934000000.0,74759000000.0,4586000000.0,,,,10684000000.0,120571000000.0,,,517845000000.0,,,,868153000000.0,11381000000.0,10307428000000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T20:20:03
2024-06-30,,346917000000.0,,,,19235000000.0,248186000000.0,,,,413122000000.0,,,,,890077000000.0,293008000000.0,,,,,,,,,,5540736000000.0,5669093000000.0,144339000000.0,,,,,,,,,,,3891000000.0,,1763421000000.0,508488000000.0,,46419000000.0,3720000000.0,113627000000.0,49262000000.0,19984000000.0,29278000000.0,409000000.0,2140000000.0,28248000000.0,,30388000000.0,,,,,,,,9545000000.0,1070000000.0,532000000.0,,60168000000.0,54845000000.0,,10350090000000.0,,,214950000000.0,,2152853000000.0,1877368000000.0,275485000000.0,5477380000000.0,,,,,,,,43114000000.0,34547000000.0,180214000000.0,,,,,,,,33892000000.0,,,8235000000.0,,,,,,,,,,7449000000.0,,,1207780000000.0,,,,,9497000000.0,,111000000.0,,121206000000.0,9491228000000.0,,20774000000.0,118934000000.0,55842000000.0,59934000000.0,74759000000.0,3853000000.0,,,,10684000000.0,120443000000.0,,,498016000000.0,,,,847463000000.0,11399000000.0,10350090000000.0,定期报告,未审计,20240823,CNY,合并期末,2024-08-22T19:35:07
2024-03-31,,357352000000.0,,,,8663000000.0,266814000000.0,,,,450961000000.0,,,,,912113000000.0,247493000000.0,,,,,,,,,,5417975000000.0,5547252000000.0,145884000000.0,,,,,,,,,,,3891000000.0,,1717186000000.0,549632000000.0,,44778000000.0,3800000000.0,113627000000.0,49262000000.0,19984000000.0,29278000000.0,409000000.0,2105000000.0,28432000000.0,,30537000000.0,,,,,,,,9689000000.0,1067000000.0,532000000.0,,59159000000.0,61986000000.0,,10257255000000.0,,,219566000000.0,,2423700000000.0,2115799000000.0,307901000000.0,5190098000000.0,,,,,,,,40121000000.0,24426000000.0,299193000000.0,,,,,,,,31618000000.0,,,8381000000.0,,,,,,,,,,6355000000.0,,,1084100000000.0,,,,,9630000000.0,,107000000.0,,86782000000.0,9424077000000.0,,20774000000.0,88960000000.0,55842000000.0,29960000000.0,74759000000.0,2407000000.0,,,,10684000000.0,120322000000.0,,,503822000000.0,,,,821728000000.0,11450000000.0,10257255000000.0,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T20:05:09
