日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,MA5,MA10,MA20,MA30,MA60,RSI6,RSI12,RSI24,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,资产总计,负债合计,营业收入,净利润,营业利润,利润总额,净利润增长率,营收增长率,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,大单净流入-净额,中单净流入-净额,小单净流入-净额,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2022-04-25,0.5695027383400444,0.21685938716097095,0.606591325720153,0.27774573838279143,5.49202218631022,6.08842774953531,3.293670498913494,-6.129942911505375,5.501909676242581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13477132589109078,-0.14735549329691044,0.006365600523672632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,0.22509202319840846,0.12175615252816485,0.20435984256969572,0.02183536666096699,2.5849972988236583,2.8703168272926405,2.0949578224572454,-0.711537812457399,2.615992817177238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18745631631263537,-0.1586997195562692,-0.12147410191052138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-27,-0.008291553509411487,0.03797473154212231,0.08526336990503486,0.024120280694198727,2.875974579482259,3.0943210360291626,0.6904959552659701,-0.628177734010507,2.8783488952740877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27454629946162756,-0.18652747132174533,-0.3072292999814385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,0.043823225755440745,0.39574404277981956,0.4110933422894843,0.10180735782403713,2.934224739559014,3.3145780601496164,3.7498969653259464,2.622865325418278,2.9439379147983002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14299039870279626,-0.18046282115797718,0.07470900752016076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,0.2794726624312973,0.4659392873897481,0.44030568464119246,0.27774573838279143,1.8923244971246933,2.2537328397219496,1.8176436958143825,0.5055193328672233,1.8945136024109024,0.2567272014989991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000939331088257587,-0.14502441137381594,0.4057260908709714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.4063608206413746,0.3142269845231291,0.4335643748677225,0.3462931593797078,0.9614732631118842,1.2511847718812152,0.9320276139549156,-1.1283382046918586,0.9762673290719299,0.2764060614992126,0.0,0.0,0.0,0.0,0.26302945079250706,0.0,0.0,0.024783985698994822,-0.11113489302112253,0.38827141259016706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,0.18883826370981427,0.008538016060539009,0.1122286089989213,0.09038278765788495,0.7871966717077954,0.9776484382244938,0.18059578692264083,-2.2620352715695895,0.7795002704992927,0.2535236661501264,0.0,0.0,0.0,0.0,-0.37221986675726915,0.0,0.0,-0.12622532474592163,-0.11653887284226212,-0.05453261822658699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,-0.015089133413522998,-0.3175302169662237,-0.09675199397869062,-0.3094771681574641,1.941548506270636,2.01300250573154,2.515401820915781,-2.4120834127739945,1.9601026219351148,0.18167294475399687,0.0,0.0,0.0,0.0,-0.653318923746078,0.0,0.0,-0.42526910575918153,-0.18525269786898368,-0.7679802864233938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,-0.42747564759627243,-0.202047717769245,-0.24506080899506125,-0.5128345171149846,1.83096702575146,1.8604050254361395,3.3831266687982886,0.838959646654791,1.82892458288669,0.060853897310822316,0.0,0.0,0.0,0.0,-0.3430991905879414,0.0,0.0,-0.5922775191460488,-0.2761843078215307,-1.0183556711104909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-11,-0.23487755031311994,-0.149967374994137,-0.1551766786821102,-0.20665603666208882,0.732950713189142,0.8517813867226411,0.6457678703235729,0.37214320735219614,0.7139112509750803,-0.06362633338820393,0.10628175663397962,0.0,0.0,0.0,-1.0359297077818028,0.0,0.0,-0.6890595166008345,-0.36976886837667494,-1.0482521495352612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,-0.24167513021723144,-0.28582913875528837,-0.2675318415732994,-0.24549957522700883,-0.03791692529099186,0.05145207630279017,-0.2935219134667707,-1.01163409486621,-0.007567963791255389,-0.18490302873835832,0.05482589982788083,0.0,0.0,0.0,-1.344238669908278,0.0,0.0,-0.8338334653758311,-0.4758095021098369,-1.1886214133502058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-13,-0.200889650792564,-0.16355355137025182,-0.14618826565081525,-0.13810861566517169,0.1887800394892957,0.3081954684535214,-0.060935871766304675,0.8889756937229262,0.1891990947813818,-0.21968426966896984,0.02562122434333898,0.0,0.0,0.0,-0.8741337912043594,-0.5566211592571292,0.0,-0.8715559833834247,-0.5687644890650804,-1.0411573949145725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,-0.16690175127200804,-0.22242698233341762,-0.25180211876853287,-0.2432146611937779,0.008896293719096138,0.10582453366534429,-0.12355519068566077,-0.4447855614273448,-0.007567963791255389,-0.200463057575737,-0.001033836614775569,0.0,0.0,0.0,-0.5469981522204757,-0.6208016962913142,0.0,-0.9253287742609191,-0.6547069320261657,-0.9621320372547421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,-0.1147869720071542,0.16477904438586216,0.08526336990503486,-0.03300257013656543,1.723839526878113,1.9393315247816434,1.5313839521830395,2.839601529380197,1.6977465438382653,-0.12632409664469935,-0.02467571676892983,0.0,0.0,0.0,1.095821031136741,0.03631283821427522,0.0,-0.743946076744837,-0.684405239925488,-0.3283088636352443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,0.2568140627509278,0.1421354170923383,0.18638301650710581,0.09038278765788495,0.7817898864426858,0.9896460339781459,1.110939953724505,-0.17803331039729064,0.7795002704992927,-0.06728751664405565,-0.057820705612497934,0.0,0.0,0.0,0.8775012760689094,0.11286617784046198,0.0,-0.607439008635039,-0.6787709404695207,0.0698593240627085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,0.0053036062988099245,0.03571036881276863,-0.00012655389226794205,0.003556054395122851,-0.3178357398514827,-0.16698538880813438,-0.09671833972022255,-0.7948978909042909,-0.335513061412317,-0.0023015138526537356,-0.08633003168074113,0.0,0.0,0.0,0.44818872248726715,-0.5169669656684237,0.0,-0.5540595132894139,-0.6627697326044013,0.18668549236089482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,0.20016756355000065,0.47273237557780434,0.4335643748677225,0.28460048048248343,2.216550326701798,2.6061033042511235,1.844480546779821,3.2063858745465215,2.2224587000319644,0.12629754800920812,-0.03881448823366694,0.0,0.0,0.0,1.3220389625783773,-0.007112290269722556,0.0,-0.2653596833578471,-0.5878054031688856,0.8511493124413614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,0.4766024796505247,0.3663073272982363,0.4043520325160127,0.4445444628086221,-0.07587573831398257,0.17103878332189157,-0.5082167211902778,-0.7948978909042909,-0.07315698331546779,0.2452860038244552,0.031184019673728216,0.0,0.0,0.0,0.9398765685745862,0.04686090692709073,0.0,-0.09663918459378855,-0.491504740407244,1.0915914934317512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,0.39276566083315156,0.23270992626643863,0.3549157608438897,0.30516470678155766,0.14466385218792124,0.3809541790019134,0.52947484947334,-0.9949620791768315,0.12361007525716941,0.2590154410339056,0.07568638231684047,0.0,0.0,0.0,0.7590055189587882,0.2742069911194953,0.0,-0.03889518144989011,-0.4020306682812634,1.014661670669891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-25,0.2522823428148529,0.2055375735142074,0.19087722302275248,0.2594664261169457,-0.48635569517919,-0.30105672879915113,-0.8302589327755383,-0.2113773417760474,-0.46669110046074186,0.2718295824293947,0.11207633510313454,0.12763280969485574,0.0,0.0,0.10731505039936763,0.7781439707793578,0.0,-0.009799613386502575,-0.32418650088580653,0.8836026168307922,0.18119581912541768,0.06419346581682636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,0.2568140627509278,0.1262848779868706,0.1684061904445159,0.13151124025603508,-0.08432940609907762,0.09592944636734327,0.39529059464614813,-0.5948337026317503,-0.07315698331546779,0.29013549870866295,0.15426086635858516,0.12287211393404363,0.0,0.0,-0.023467031965781975,0.49366248545699104,0.0,-0.03233227814686025,-0.2667629406002713,0.6534798850751333,0.1735324041594428,0.06273749937339335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,0.2341554630705566,0.28252590631219376,0.26053742401529034,0.28003065241602154,-0.10670077524894914,0.11334849256094782,-0.22195697755893515,1.1390559290636018,-0.1387460028396802,0.2516930745221989,0.1999221446955274,0.13132234890948224,0.0,0.0,0.5262457132116176,0.6156725717999201,0.0,0.035400440956108996,-0.20623976229001628,0.688409922336414,0.18905796546725154,0.0633273808403614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30,0.37010706115278197,0.27120409266543183,0.2807613533357052,0.2937401366154055,-0.5419756132475655,-0.34888031753592846,-0.1772288926165376,-0.09467323195039871,-0.5322801199849541,0.23247186242896936,0.2504508689465619,0.14358114049356646,0.0,0.0,-0.757023078205676,0.8586544870550127,0.0,0.08025608405875247,-0.1481628224342967,0.6608429125676435,0.20588902689260383,0.07008657432931857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0.26814336259111254,0.41159458188528725,0.33693893478129977,0.2960250506486356,0.011001759510568266,0.2573314254624268,0.4579099135655042,1.0223518192379533,-0.007567963791255389,0.268626047080522,0.2757152310720791,0.14441426225170875,0.0,0.0,0.1734297528110481,0.8772613550921105,0.14219443773379242,0.19072202046612408,-0.07791554777497246,0.7979921499194491,0.2086172060133038,0.0689027426052845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.4154242605135227,0.41159458188528725,0.3257034184921799,0.40341601021047196,-0.6618885690419366,-0.45803892641349514,-0.937606336637292,-0.011313153503506769,-0.6634581590333789,0.31027200661585874,0.3032974245852563,0.14155784479522454,0.0,0.0,0.8575747429439341,1.0046168903560349,0.14219443773379242,0.2735600806558578,-0.0038808889371760046,0.8406727219840588,0.19841510524696296,0.07384146271202507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02,0.32478986179203967,0.23723865172514277,0.2650316305309386,0.28231556644925165,-0.30107470552964266,-0.1025570033866803,-0.2666850625013323,-1.2950583615856426,-0.26992404188810465,0.3326967540579626,0.32392612393545034,0.1375112533985339,0.0,0.0,0.12209082449188957,0.11929293329112493,0.05487833853724212,0.237219196296116,0.0475218539896926,0.5856304362061453,0.18898805716463263,0.07562528992095763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
