报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20241231,27984605342.06,27984605342.06,,,,,,21008000532.03,3848177391.88,,,,,,,,,257883958.62,6582915544.87,8336069025.76,2555686849.29,-572732238.39,5558751.08,,4279363.56,-21580810.36,,,,108630771.57,,,,399259997.05,,,,5397912.01,7490632003.88,10446041.92,,331388050.05,,7169689995.75,832695348.22,,6336994647.53,6336994647.53,,6336527014.75,,467632.78,-624026.11,-2352161.55,,,,,,-2352161.55,,,,,,,,,-2352161.55,,1728135.44,6336370621.42,6334174853.2,2195768.22,1.0,1.0,定期报告,是,20250331,CNY,合并期末,2025-03-31T08:23:20
20240930,20189303845.1,20189303845.1,,,,,,15089979241.8,2833182677.7,,,,,,,,,172414995.14,4548870345.14,6109287761.42,1874111722.11,-447888259.71,3313597.64,,-31420370.48,-54227551.87,,,,9529744.94,,,,270744490.42,,,,2149624.8,5345290528.73,5790924.24,,264341297.74,,5086740155.23,470409977.77,,4616330177.46,4616330177.46,,4619575874.29,,-3245696.83,-12630993.15,-11499309.03,,,,,,-11499309.03,,,,,,,,,-11499309.03,,-1131684.12,4603699184.31,4608076565.26,-4377380.95,0.73,0.73,定期报告,未审计,20241025,CNY,合并期末,2024-10-24T16:57:05
20240630,13600734114.77,13600734114.77,,,,,,9756000390.11,1873303655.38,,,,,,,,,114951556.98,3037753778.66,3938214500.02,1173998524.87,-382221625.8,3314241.63,,-16140088.65,-34377255.53,,,,7542196.34,,,,168309001.73,,,,2015408.01,3984776115.54,3132564.37,,236308575.04,,3751600104.87,323467746.83,,3428132358.04,3428132358.04,,3431748098.1,,-3615740.06,-17226.74,-772837.34,,,,,,-772837.34,,,,,,,,,-772837.34,,755610.6,3428115131.3,3430975260.76,-2860129.46,0.54,0.54,定期报告,未审计,20240822,CNY,合并期末,2024-08-21T18:37:50
20240331,5997533912.14,5997533912.14,,,,,,4412916241.65,942849379.52,,,,,,,,,58017910.82,1220126943.52,1764255987.33,576301558.24,-148635537.78,,,615897.07,,,,,7337738.03,,,,54681449.36,,,,1622081.66,1636008814.62,198808.58,,133696788.68,,1502510834.52,135022146.8,,1367488687.72,1367488687.72,,1368929247.85,,-1440560.13,-5925391.68,-6141934.94,,,,,,-6141934.94,,,,,,,,,-6141934.94,,216543.26,1361563296.04,1362787312.91,-1224016.87,0.21,0.21,定期报告,未审计,20240418,CNY,合并期末,2024-04-17T18:57:03
