报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,177176884792.12,177176884792.12,,,,,,169031120681.56,156405038214.67,,,,,,,,,393351755.4,6997130848.29,753468777.4,4303149342.36,178981743.44,1120675916.28,,1726542732.87,1643798233.94,-602909484.8,,,579928213.12,,,,566038985.73,,,,35460721.44,10540714723.78,34417206.33,,42798566.82,,10532333363.29,745622749.31,,9786710613.98,9786710613.98,,9074954475.62,,711756138.36,-513861944.95,-501699386.14,-78525915.16,,,-78525915.16,,-423173470.98,,,,,,,,,-423173470.98,,-12162558.81,9272848669.03,8573255089.48,699593579.55,1.26,1.25,定期报告,未审计,20241026,CNY,合并期末,2024-10-25T18:52:03
20240630,103597974358.37,103597974358.37,,,,,,98866243170.09,91471769355.3,,,,,,,,,273815665.13,4219509106.1,438835653.56,2583403240.37,-121089850.37,748152219.53,,1121038056.5,1039083924.53,-452924642.21,,,183595576.46,,,,406559336.73,,,,21715041.18,6164305056.37,18008468.28,,21660460.54,,6160653064.11,399166917.03,,5761486147.08,5761486147.08,,5396162858.61,,365323288.47,-687038975.25,-701124705.68,-68253544.63,,,-68253544.63,,-632871161.05,,,,,,,,,-632871161.05,,14085730.43,5074447171.83,4695038152.93,379409018.9,0.75,0.74,定期报告,未审计,20240824,CNY,合并期末,2024-08-23T17:52:05
20240331,52406775584.57,52406775584.57,,,,,,50248125118.89,46775757941.33,,,,,,,,,176926212.67,1908067139.65,210611377.32,1075008733.25,101753714.67,347034474.14,,590770860.82,454705720.41,-203770762.88,,,59513859.22,,,,212295241.58,,,,17984303.52,2807625713.01,11091036.05,,9756239.07,,2808960509.99,235993790.04,,2572966719.95,2572966719.95,,2471024666.99,,101942052.96,-69893391.92,-74450142.9,-60397254.95,,,-60397254.95,,-14052887.95,,,,,,,,,-14052887.95,,4556750.98,2503073328.03,2396574524.09,106498803.94,0.35,0.34,定期报告,未审计,20240425,CNY,合并期末,2024-04-24T21:07:43
20231231,231905459829.83,231905459829.83,,,,,,220679633964.40997,205041300458.59003,,,,,,,,,534815230.06,8188767532.85,889024421.63,5542856994.26,482869327.02,1376870146.38,,1771282791.44,2044361609.89,-741342548.75,,,210346832.18,,,,825189115.07,,,,122867177.52,12859918344.7,93459027.4,,68334885.79,,12885042486.31,641829343.18,,12243213143.13,12243213143.13,,10952656702.16,,1290556440.97,-491540544.45,-464912752.55,-142656996.94,,,-142656996.94,,-322255755.61,,,,,,,,,-322255755.61,,-26627791.9,11751672598.68,10487743949.61,1263928649.07,1.54,1.53,定期报告,是,20240425,CNY,合并期末,2024-04-24T21:12:04
