报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期,资产负债率,权益乘数
2024-12-31,,424396071000.0,,,15175000.0,,,319422577000.0,2328094000.0,317094483000.0,3565600000.0,24340316000.0,,,,,,,,,,68240611000.0,68240611000.0,772146995000.0,1897210000.0,,,61780989000.0,157692307000.0,2278899954000.0,,,21971115000.0,135767000.0,,,,119073558000.0,156241562000.0,121537045000.0,7293820000.0,1904220000.0,,103569037000.0,50230306000.0,53338731000.0,233717000.0,4307051000.0,4307051000.0,,53105014000.0,,53105014000.0,,,,445402103000.0,6368554000.0,35249210000.0,,2437609000.0,1511390000.0,,26623383000.0,352602811000.0,910362109000.0,3189262063000.0,,115665735000.0,,,,,,844282335000.0,16105618000.0,828176717000.0,974039000.0,345383924000.0,,,13021176000.0,62243838000.0,,842309000.0,,,146730690000.0,147572999000.0,,,,,,,,,,,,,,120933590000.0,111466335000.0,1761543971000.0,,524271669000.0,98245542000.0,,0.0,4265042000.0,1492530000.0,,14613910000.0,,3069334000.0,398954000.0,9055865000.0,844770000.0,656257616000.0,2417801587000.0,,41610322000.0,9000000000.0,,9000000000.0,10723129000.0,884370000.0,-3241738000.0,2276816000.0,17364718000.0,2832901000.0,,382502881000.0,,,462184659000.0,309275817000.0,771460476000.0,3189262063000.0,定期报告,是,20250416,CNY,合并期末,2025-04-15T20:50:06,0.758106903490295,6.900406581863636
2024-09-30,,321103950000.0,,,14131000.0,,,362593671000.0,2151455000.0,360442216000.0,3632411000.0,43922925000.0,,,,,,,,,,68240611000.0,84006906000.0,824723222000.0,1897210000.0,,,68660637000.0,159124186000.0,2363732011000.0,,,22028322000.0,167910000.0,,,,119475075000.0,159174107000.0,112806954000.0,7117951000.0,1484201000.0,,103569037000.0,50230306000.0,53338731000.0,233717000.0,5640241000.0,4307051000.0,,53105014000.0,,51258541000.0,,,,495949972000.0,6822643000.0,35427286000.0,,2415895000.0,1450860000.0,,24992367000.0,359646254000.0,909908607000.0,3273640618000.0,,139466869000.0,,,,,,936579183000.0,14234157000.0,922345026000.0,968021000.0,337707485000.0,,,8311816000.0,54646156000.0,,842309000.0,,,146730690000.0,128413458000.0,,,,,,,,,,,,,,116502760000.0,110784800000.0,1833380548000.0,,526728324000.0,97949046000.0,,0.0,4568438000.0,1478911000.0,,15574413000.0,,2126799000.0,399119000.0,9561813000.0,1497731000.0,659884594000.0,2493265142000.0,,41610322000.0,9000000000.0,,9000000000.0,11308998000.0,884370000.0,-3143003000.0,2110696000.0,15579360000.0,2610389000.0,,378091249000.0,,,456283641000.0,324091835000.0,780375476000.0,3273640618000.0,定期报告,未审计,20241026,CNY,合并期末,2024-10-25T18:45:13,0.7616184648647343,7.174573716527347
2024-06-30,,336744330000.0,,,12606000.0,,,315375205000.0,3499730000.0,311875475000.0,3454429000.0,29399783000.0,,,,,,,,,,78980657000.0,78980657000.0,826416526000.0,1897210000.0,,,62052566000.0,159538911000.0,2311288981000.0,,,20916649000.0,131705000.0,,,,118117666000.0,156658673000.0,112687591000.0,6739188000.0,1517188000.0,,100710429000.0,48267491000.0,52442938000.0,236628000.0,4744740000.0,4744740000.0,,52206310000.0,,52206310000.0,,,,499313968000.0,7188923000.0,34770082000.0,,2415895000.0,1434442000.0,,24672601000.0,342513736000.0,886715389000.0,3198004370000.0,,170029107000.0,,,,,,825442836000.0,12336949000.0,813105887000.0,940348000.0,319412406000.0,,,9412813000.0,57103532000.0,,7878613000.0,,,141105846000.0,148984459000.0,,,,,,,,,,,,,,126222979000.0,131896403000.0,1789444883000.0,,520816655000.0,94219661000.0,,0.0,4898465000.0,1510430000.0,,15473864000.0,,1951955000.0,384137000.0,9314919000.0,1535391000.0,650105477000.0,2439550360000.0,,41619952000.0,9000000000.0,,9000000000.0,11216625000.0,915065000.0,-3037445000.0,1632777000.0,15579360000.0,2610389000.0,,368065298000.0,,,445771891000.0,312682119000.0,758454010000.0,3198004370000.0,定期报告,未审计,20240830,CNY,合并期末,2024-08-30T01:00:04,0.7628352177642584,7.174082607196064
2024-03-31,,339161285000.0,,,15015000.0,,,267533262000.0,4492998000.0,263040264000.0,4677597000.0,30814456000.0,,,,,,,,,,78980657000.0,81969647000.0,821109442000.0,1897210000.0,,,57861516000.0,135766197000.0,2093735717000.0,,,21692780000.0,139245000.0,,,,115038372000.0,159644836000.0,115372577000.0,6112783000.0,1525114000.0,,100710429000.0,48267491000.0,52442938000.0,236628000.0,4701916000.0,4744740000.0,,52206310000.0,,53499501000.0,,,,354827300000.0,6919991000.0,33184491000.0,,2403859000.0,1466526000.0,,22653640000.0,328117687000.0,872473318000.0,2966209035000.0,,134453467000.0,,,,,,681264770000.0,10189974000.0,671074796000.0,886120000.0,304691483000.0,,,8058902000.0,63615160000.0,,7878613000.0,,,141105846000.0,135058526000.0,,,,,,,,,,,,,,126802040000.0,111619493000.0,1566449961000.0,,521765234000.0,97882665000.0,,0.0,4697944000.0,1550321000.0,,12321797000.0,,1939258000.0,408952000.0,8986032000.0,1602793000.0,651154996000.0,2217604957000.0,,41619952000.0,9202249000.0,,9202249000.0,11433099000.0,915065000.0,-2412994000.0,911609000.0,15579360000.0,2570069000.0,,364689329000.0,,,442677608000.0,305926470000.0,748604078000.0,2966209035000.0,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T20:20:08,0.7476226155450302,6.70060780440469
