日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-10-24,18.81,-0.53,-85384611.0,-6.13,-60729027.0,-4.36,-24655584.0,-1.77,18836080.0,1.35,66548528.0,4.78,-85384614.0,-1.7112408331552367,-1.9999999297297053,,-0.37285241374972994
2024-10-25,18.77,-0.21,11689130.0,0.84,39352586.0,2.84,-27663456.0,-2.0,-10264224.0,-0.74,-1424912.0,-0.1,11689124.0,4.366598899968521,2.0000010265951493,,0.5852092027235628
2024-10-28,18.69,-0.43,-41177877.0,-3.7,-13677685.0,-1.23,-27500192.0,-2.47,4190064.0,0.38,36987803.0,3.32,-41177887.0,-1.3321606812899038,-1.999999514302373,,0.06344239884534658
2024-10-29,18.75,0.32,47351408.0,2.95,47276752.0,2.95,74656.0,0.0,-23451328.0,-1.46,-23900064.0,-1.49,47351424.0,1.9984226873514512,1.9999993242019078,,0.9371754655778428
2024-10-30,18.66,-0.48,-22115836.0,-1.92,-52272252.0,-4.54,30156416.0,2.62,7915312.0,0.69,14200532.0,1.23,-22115828.0,-3.363567848330012,-2.000000723463666,-17927556.2,0.25157388976258394
2024-10-31,18.92,1.39,159705712.0,6.89,138960304.0,5.99,20745408.0,0.89,-115563216.0,-4.98,-44142464.0,-1.9,159705744.0,1.870101904412393,1.999999599262992,31090515.4,2.0460475833586336
2024-11-01,18.87,-0.26,-98663237.0,-6.44,-21948613.0,-1.43,-76714624.0,-5.01,8208.0,0.0,98655024.0,6.44,-98663242.0,-1.2224598295685316,-1.9999998986451104,9020042.2,-0.5039047876289301
2024-11-04,19.26,2.07,8227968.0,0.47,68952224.0,3.95,-60724256.0,-3.48,21336656.0,1.22,-29564624.0,-1.7,8227968.0,9.380225105395478,1.9999999999997569,18901213.2,0.5510495960107129
2024-11-05,19.8,2.8,-143047888.0,-4.5,-186004480.0,-5.85,42956592.0,1.35,105862016.0,3.33,37185856.0,1.17,-143047904.0,-2.3002949277746683,-1.9999997762987005,-19178652.4,-0.9419557157011625
2024-11-06,20.45,3.28,-180883728.0,-3.76,-49731328.0,-1.03,-131152400.0,-2.73,55585776.0,1.16,125297984.0,2.61,-180883696.0,-1.2749355585922941,-2.0000003538185,-50932226.0,-1.3153730867729068
2024-11-07,21.5,5.13,-21090688.0,-0.52,-122838832.0,-3.04,101748144.0,2.52,34748704.0,0.86,-13658000.0,-0.34,-21090672.0,-6.824321197541415,-2.0000015172583407,-87091509.2,0.2616915862140927
2024-11-08,20.97,-2.47,-124845920.0,-3.89,-8619776.0,-0.27,-116226144.0,-3.62,57437104.0,1.79,67408816.0,2.1,-124845920.0,-1.0690433135500057,-1.999999999999984,-92328044.8,-0.762312667299534
2024-11-11,20.88,-0.43,-168058416.0,-8.27,-94470960.0,-4.65,-73587456.0,-3.62,76743216.0,3.78,91315184.0,4.49,-168058432.0,-1.5621315329182557,-1.9999998095900238,-127585324.8,-1.1887951532072216
2024-11-12,20.42,-2.2,-182613872.0,-9.47,-140085008.0,-7.26,-42528864.0,-2.2,51059472.0,2.65,131554400.0,6.82,-182613872.0,-1.767110441642671,-1.999999999999989,-135498518.4,-1.3324489226219733
2024-11-13,20.48,0.29,-133471044.0,-10.58,-50248404.0,-3.98,-83222640.0,-6.6,38350016.0,3.04,95121036.0,7.54,-133471036.0,-1.3764742786592188,-2.0000001198761805,-126015986.4,-0.8474375707747629
2024-11-14,20.28,-0.98,-109104240.0,-9.1,-74918480.0,-6.25,-34185760.0,-2.85,16343808.0,1.36,92760431.0,7.74,-109104241.0,-1.6866688069439786,-1.9999999816688885,-143618700.2,-0.606951405443689
