报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,,31577572788.0,,,,,,,,,,,866820743.0,616673890.0,33061067421.0,10379652537.0,,,,,,6428507799.0,3297688701.0,1882337388.0,21988186425.0,11072880996.0,,592800000.0,2799041.0,14757134.0,,141245072.0,,,751601247.0,1417824137.0,730696848.0,,5773292274.0,,39712000.0,7961525259.0,-7209924012.0,,69759005.0,69759005.0,2412327.0,,38036327.0,110207659.0,5112257.0,6842338528.0,100905212.0,121538578.0,6968989363.0,-6858781704.0,-89628681.0,-3085453401.0,18668419278.0,,,,,15582965877.0,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T19:00:05
20240630,,21802433530.0,,,,,,,,,,,499940673.0,448100871.0,22750475074.0,6329579604.0,,,,,,4646525262.0,2000500686.0,1278074566.0,14254680118.0,8495794956.0,,183000000.0,1138654.0,6948606.0,,,,,191087260.0,910971335.0,149196848.0,,5721410094.0,,39712000.0,6821290277.0,-6630203017.0,,69759005.0,69759005.0,,,37954968.0,107713973.0,4709303.0,1819173541.0,,73384297.0,1897267141.0,-1789553168.0,22076855.0,98115626.0,18668419278.0,18766534904.0,18668419278.0,,,18766534904.0,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T20:55:05
20240331,,9929908497.0,,,,,,,,,,,215649427.0,249734229.0,10395292153.0,3101409731.0,,,,,,3060807360.0,717620748.0,650760152.0,7530597991.0,2864694162.0,,,,2292328.0,,,,,2292328.0,402111624.0,1063234.0,,,,,403174858.0,-400882530.0,,,,,,325943.0,325943.0,2858251.0,161772.0,,37576566.0,40596589.0,-40270646.0,-6505759.0,2417035227.0,18668419278.0,,,,,21085454505.0,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T17:00:06
20231231,,35248869704.0,,,,,,,,,,,966204555.0,962694284.0,37177768543.0,12484684458.0,,,,,,7016482018.0,4066206553.0,2548370219.0,26115743248.0,11062025295.0,,,328800.0,21664897.0,,6771150777.0,,,6793144474.0,2688667990.0,1311585929.0,,870822130.0,,2615000000.0,7486076049.0,-692931575.0,,78748400.0,78748400.0,,,368547.0,79116947.0,18765551.0,10669617132.0,,166420032.0,10854802715.0,-10775685768.0,101367493.0,-305224555.0,18973643833.0,18668419278.0,18973643833.0,,,18668419278.0,定期报告,是,20240427,CNY,合并期末,2024-04-26T17:05:11
