报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20241231,,55583842589.7,,,1236017839.53,,142709716.91,38591682989.15,12118681244.14,26473001745.01,360069391.56,2382805400.24,,771591076.67,,,,,,,,2717590461.13,3489181537.8,43044414227.38,,,,1439758652.55,4431384633.61,151689536276.72,,,15474759856.99,,,,,20932439255.93,246161259.83,224724107.31,5986688663.46,,,68898399309.31,31333234849.85,37565164459.46,46519134.38,5680101282.66,5680101282.66,,37518645325.08,,37518645325.08,,,,987669298.29,5841869564.36,14034674912.54,267267592.92,27384007599.06,597870603.85,,2477206492.36,1757870031.54,138424286547.89,290113822824.61,,13784367443.93,,,,,71011310.01,75737127093.79,21149134964.21,54587992129.58,,10852073573.07,,,5040549927.87,3915081920.18,,14082609.41,,,21730158214.09,21744240823.5,,,,,,,,,,,,,,16528817805.46,1898104621.95,149571374519.76,,9665074313.67,,,,4480895997.36,2561647446.35,,188220056.59,,2386261752.92,1231612436.09,1541697550.83,98073333.45,22153482887.26,171724857407.02,,9382913334.0,,,,20115358921.93,3510728776.44,793828357.47,,5296602892.45,,,79288144269.76,,,111366118999.17,7022846418.42,118388965417.59,290113822824.61,定期报告,是,20250328,CNY,合并期末,2025-03-27T20:20:04
20240930,,47081269568.37,,,1101721640.37,,125752054.02,31477331352.05,10199321430.58,21278009921.47,,1641302035.9,,920013232.31,,,,,,,,,2902372045.15,38453100259.83,,,,,4989880669.26,128135267811.22,,,14485878655.3,,,,,26434696231.37,79308739.44,343053671.73,6277044280.79,,,,,,,7288412566.09,,,,,29761079595.29,,,,362538186.27,4677226750.63,10370430156.7,392118571.0,24040065453.17,528624169.82,,1697074055.11,1623728035.57,127998740932.01,256134008743.23,,10681993238.69,,,,,167492488.83,66970538897.14,22101721322.07,44868817575.07,,3525488793.71,,,4116886116.25,3865371036.99,,13311986.86,,,,20227299902.97,,,,,,,,,,,,,,5208872062.87,1318167040.51,116082109577.96,,18103723176.36,,,,3620721741.3,1084937366.98,,48893822.17,,1963868754.27,1040502487.85,1895828480.19,133265025.31,27891740854.43,143973850432.39,,9384063334.0,,,,21941056402.42,3590343459.47,514020628.85,,4842338543.8,,,76208771877.76,,,109299907327.36,2860250983.48,112160158310.84,256134008743.23,定期报告,未审计,20241030,CNY,合并期末,2024-10-29T16:55:04
20240630,,54705626157.44,,,1066569759.01,,86713582.93,30665317037.23,7147471192.39,23517845844.84,1035015815.14,,,676041225.16,,,,,,,,2055228939.51,2731270164.67,39453614462.1,,,,,4472061327.09,134516996911.57,,,14477621780.97,,,,,26038301146.49,80227845.94,351899806.17,6281814366.53,,,57953848263.95,28224087790.19,29729760473.76,43758673.36,5787636237.75,5787636237.75,,29686001800.4,,29686001800.4,,,,300808605.96,4815237702.43,10814254709.75,284998053.97,24341834392.35,628084750.01,,1782173574.04,2364161933.18,127734248099.98,262251245011.55,,10333169856.54,,,,,191751522.44,70589498199.28,23389001752.35,47200496446.93,,3256026994.75,,,3896760934.55,3677057061.93,,7515895607.63,,,19732347903.27,27248243510.9,,,,,,,,,,,,,,5327717384.22,1095321670.22,125615547134.83,,18123651118.19,,,,3724630519.72,1055014630.92,,51160960.16,,2005235110.36,1027202647.44,1968954413.5,95069810.18,28050919210.47,153666466345.3,,9438114893.0,,,,23906949506.86,5500665317.85,1635545031.02,,4842338543.8,,,71412017694.55,,,105734300351.38,2850478314.87,108584778666.25,262251245011.55,定期报告,未审计,20240828,CNY,合并期末,2024-08-27T17:30:04
20240331,,53620535430.53,,,839350237.71,,51453932.66,31722703531.51,10053393958.1,21669309573.41,,1444465256.2,,963946976.47,,,,,,,,,3118163474.05,41280854550.91,131091.59,,,,4602600777.65,136897864719.48,,,9440589481.12,,,,,25633127344.88,97473162.36,329880665.44,6406230978.59,,,,,,,5028773893.91,,,,,29607651821.65,,,,217606436.67,4755960266.48,10688627157.16,403686774.26,24250096011.24,679772144.28,,1516080255.22,2122048613.72,120959998570.31,257857863289.79,,10054859989.82,,,,,123808608.81,74651589831.04,22423743538.57,52227846292.47,,3935938913.59,,,4033549716.04,3555274829.9,29125932.03,1991436.35,,,,18286990532.39,,,,,,,,,,,,,,3772387996.03,1183229266.28,119597629683.9,,18380860174.97,,,,3672352804.24,1014424778.3,,56834622.96,,1955875781.49,1039770698.09,2038466103.71,90497663.12,28249082626.88,147846712310.78,,9438114893.0,,,,23994556861.19,5500665317.85,1273185821.24,,4842338543.8,,,73235263093.97,,,107282793895.35,2728357083.66,110011150979.01,257857863289.79,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T16:35:05
