日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-11-08,1586.09,-2.41,-1066442928.0,-10.79,-917465936.0,-9.28,-148976992.0,-1.51,1066558896.0,10.79,-115951.0,-0.0,-1066442911.0,-1.8603047978814857,-2.000000031881686,,-2.071490558739965
2024-11-11,1574.13,-0.75,-412378736.0,-5.93,-462319744.0,-6.65,49941008.0,0.72,412901600.0,5.93,-522868.0,-0.01,-412378740.0,-2.121104691284516,-1.999999980600353,,-0.7156831431846341
2024-11-12,1553.32,-1.32,-385222464.0,-4.91,-385010896.0,-4.91,-211568.0,-0.0,385683984.0,4.92,-461510.0,-0.01,-385222454.0,-1.9994508419802497,-2.000000051918048,,-0.6593909694649679
2024-11-13,1554.62,0.08,112587312.0,2.45,-94009040.0,-2.05,206596352.0,4.5,-112449728.0,-2.45,-137580.0,-0.0,112587316.0,0.16501212267996365,1.9999999289440207,,0.372517224909883
2024-11-14,1549.92,-0.3,-173776304.0,-3.76,-112487808.0,-2.44,-61288496.0,-1.33,174151568.0,3.77,-375286.0,-0.01,-173776326.0,-1.6473136392583092,-1.999999746800942,-385046623.0,-0.22108500340883044
2024-11-15,1535.12,-0.95,-442603104.0,-8.36,-257730400.0,-4.87,-184872704.0,-3.49,443003520.0,8.37,-400423.0,-0.01,-442603111.0,-1.582305877646663,-1.999999968368948,-260278663.0,-0.7783351399598794
2024-11-18,1535.12,0.0,-85378736.0,-2.01,-112847776.0,-2.66,27469040.0,0.65,85679408.0,2.02,-300691.0,-0.01,-85378755.0,-2.3217311144909254,-1.9999995549243836,-194878666.0,-0.03784597642522446
2024-11-19,1518.04,-1.11,-615843872.0,-11.98,-515651968.0,-10.03,-100191904.0,-1.95,615942112.0,11.99,-98233.0,-0.0,-615843865.0,-1.8373095914497715,-2.000000022733032,-241002948.2,-1.1374453150218868
2024-11-20,1520.93,0.19,57313456.0,1.74,154334304.0,4.69,-97020848.0,-2.95,-57103216.0,-1.73,-210239.0,-0.01,57313457.0,3.6928109222236642,1.9999999651041465,-252057720.0,0.25794022888824986
2024-11-21,1521.25,0.02,-102551968.0,-3.65,-140529168.0,-5.0,37977200.0,1.35,102632112.0,3.65,-80131.0,-0.0,-102551955.0,-2.370321813952719,-2.000000253530008,-237812845.8,-0.07344424482328782
2024-11-22,1483.94,-2.45,-676222608.0,-13.24,-313984016.0,-6.15,-362238592.0,-7.09,676543152.0,13.25,-320553.0,-0.01,-676222617.0,-1.4643204753975252,-1.9999999733815441,-284536747.0,-1.2626042265372774
2024-11-25,1474.69,-0.62,-221524336.0,-4.42,-58961904.0,-1.18,-162562432.0,-3.24,222058528.0,4.43,-534198.0,-0.01,-221524342.0,-1.2661644199805306,-1.9999999458298716,-311765864.4,-0.32006170484147106
2024-11-26,1485.12,0.71,173002336.0,4.46,141115168.0,3.64,31887168.0,0.82,-172700304.0,-4.45,-302043.0,-0.01,173002325.0,1.8156837140772424,2.0000001271659094,-153996626.4,0.49775129343837005
2024-11-27,1495.17,0.68,203714256.0,5.19,195855808.0,4.99,7858448.0,0.2,-203443488.0,-5.18,-270784.0,-0.01,203714240.0,1.9614243167291496,2.0000001570827743,-124716469.8,0.5614139185279577
2024-11-28,1494.12,-0.07,-230666144.0,-6.36,-130138000.0,-3.59,-100528144.0,-2.77,230749424.0,6.36,-83292.0,-0.0,-230666156.0,-1.5641832779317588,-1.9999998959535181,-150339310.0,-0.3390117402697647
2024-11-29,1501.86,0.52,403546048.0,7.29,269368880.0,4.87,134177168.0,2.42,-403271408.0,-7.29,-274632.0,-0.0,403546056.0,1.6675046577583161,1.9999999603514846,65614424.6,0.975644616385108
