报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期,营收增长率,净利润增长率
2024-09-30,147416090216.09,146722377976.28,693712156.52,,83.29,,,121980539281.37,102391886085.03,357316.05,,,,,,,,1336850129.65,5352753979.88,10162816120.55,4973133854.87,-2391742826.47,1837694315.03,154484621.81,123263888.12,16181401.74,,,,182025150.76,,,,1159571303.38,,,,-677963.66,25601325723.52,49173348.2,,28417870.64,,25622081201.08,4407257777.84,,21214823423.24,21214928616.78,-105193.54,21960897001.18,,-746073577.94,-653497591.92,-677429093.11,-676369498.1,-15837466.0,-488123402.09,-188246096.01,,-1059595.01,-591111.08,,9257917.13,,5977457.97,,32939438.85,,-48643297.88,,23931501.19,20561325831.32,21283467908.07,-722142076.75,3.98,3.98,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:42:03,,
2024-06-30,100286553308.24,99783116496.59,503436811.65,,83.29,,,83640656193.15,69379898980.12,183762.28,,,,,,,,889944121.0,3531965035.5,8102500958.94,3305036340.73,-1716278350.86,1319562880.24,147405345.44,31501485.82,16711571.8,,,,-105837876.92,,,,798323665.25,,,,-3022923.38,16320842248.6,19582352.65,,21526114.51,,16318898486.74,2431189169.71,,13887709317.03,13887780727.56,-71410.53,14136119367.6,,-248410050.57,-1442737409.85,-1432159915.27,-1434475513.78,-15837466.0,-729675249.15,-704800264.63,,2315598.51,-259786.75,,15056407.32,,1202481.97,,-3850766.73,,-9832737.3,,-10577494.58,12444971907.18,12703959452.33,-258987545.15,2.56,2.56,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T22:07:07,-0.3199188980380244,-0.34537709600653266
2024-03-31,36595551580.44,36364269766.89,231281813.55,,83.29,,,31039476372.34,25653455762.37,47580.69,,,,,,,,366202950.54,1488177551.04,2677461240.41,1734743990.08,-922324866.72,695794531.58,41712163.93,100869550.9,20854523.98,,,,-85636985.43,,,,394664550.61,,,,-655880.86,5321083878.44,9244451.57,,11857169.36,,5318471160.65,677924670.97,,4640546489.68,4640606261.83,-59772.15,4675160247.24,,-34613757.56,-749603205.44,-740288564.94,-735467378.09,-15837466.0,-294560080.43,-440907297.66,,-4821186.85,28577.99,,3420084.03,,152506.84,,4212153.75,,-12634509.46,,-9314640.5,3890943284.24,3934871682.3,-43928398.06,0.85,0.85,定期报告,未审计,20240430,CNY,合并期末,2024-04-30T02:57:04,-0.6355669070715714,-0.6658522738527177
2023-12-31,205018123834.21,203979266387.09,1038856837.77,,609.35,,,170774052191.66,141625549746.95,503529.63,,,,,,,,2114184492.83,6762136262.23,17129639682.51,6542161037.82,-3526521851.75,2962205439.75,126399291.44,217156605.23,93222443.16,,,,437583988.72,,,,900669135.95,,,,382923791.69,32864780357.76,128371808.52,,177448328.09,,32815703838.19,5096680924.6,,27719022913.59,27719217635.33,-194721.74,29017387604.18,,-1298364690.59,-1335306322.73,-1353437738.42,-1419870672.1,-15837466.0,-852472209.72,-551560996.38,,66432933.68,160652.18,,5646351.69,,2753149.69,,1650685.72,,56222094.4,,18131415.69,26383716590.86,27663949865.76,-1280233274.9,5.22,5.22,定期报告,是,20240430,CNY,合并期末,2024-04-30T03:32:02,4.609332118991565,4.973223838018575
