报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
2024-12-31,,774347395000.0,,,,,,,,,,,12073925000.0,28396310000.0,814817630000.0,489866241000.0,,,,,,117067584000.0,52697132000.0,21732800000.0,681363757000.0,133453873000.0,,128755000.0,469217000.0,1068016000.0,21674000.0,13712511000.0,,,15400173000.0,97359768000.0,3666259000.0,,125437000.0,,43330991000.0,144482455000.0,-129082282000.0,,98000000.0,98000000.0,37663666000.0,2960000000.0,105558000.0,55721666000.0,50103695000.0,10051081000.0,415066000.0,5834437000.0,65989213000.0,-10267547000.0,-359247000.0,-6255203000.0,108511745000.0,102256542000.0,108511745000.0,,,102256542000.0,定期报告,是,20250325,CNY,合并期末,2025-03-24T20:15:03
2024-09-30,,501573341000.0,,,,,,,,,,,9209866000.0,13211254000.0,523994461000.0,339294321000.0,,,,,,83518851000.0,30882442000.0,14025532000.0,467721146000.0,56273315000.0,,16500000.0,838336000.0,529566000.0,18882000.0,7763003000.0,,,9166287000.0,69517647000.0,2981345000.0,,125437000.0,,23317843000.0,95816835000.0,-86650548000.0,,98000000.0,98000000.0,26833999000.0,2960000000.0,105558000.0,29891999000.0,29536541000.0,9994149000.0,415066000.0,2322762000.0,41853452000.0,-11961453000.0,-363398000.0,-42702084000.0,108511745000.0,102256542000.0,108511745000.0,,,65809661000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:50:07
2024-06-30,,297083766000.0,,,,,,,,,,,6797295000.0,7132449000.0,311013510000.0,217491368000.0,,,,,,50466622000.0,19325411000.0,9551799000.0,296835200000.0,14178310000.0,,16500000.0,351307000.0,310810000.0,16395000.0,470000000.0,,,1165012000.0,47225661000.0,1753172000.0,,125437000.0,,8060254000.0,57039087000.0,-55874075000.0,,98000000.0,98000000.0,13260782000.0,2960000000.0,105558000.0,13358782000.0,23687916000.0,333758000.0,415066000.0,1695532000.0,25717206000.0,-12358424000.0,-230984000.0,-54285173000.0,108511745000.0,54226572000.0,108511745000.0,,,54226572000.0,定期报告,未审计,20240829,CNY,合并期末,2024-08-28T23:05:10
2024-03-31,,124156838000.0,,,,,,,,,,,3605599000.0,3519489000.0,131281926000.0,85416879000.0,,,,,,23477009000.0,7927455000.0,4232599000.0,121053942000.0,10227984000.0,,16500000.0,114226000.0,36987000.0,16395000.0,440000000.0,,,591213000.0,26094349000.0,1606462000.0,,125437000.0,,160000000.0,27860811000.0,-27269598000.0,,98000000.0,98000000.0,12703500000.0,2960000000.0,105558000.0,12703500000.0,17136272000.0,232182000.0,415066000.0,518589000.0,17887043000.0,-5183543000.0,-107840000.0,-22332997000.0,108511745000.0,54226572000.0,108511745000.0,,,86178748000.0,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T20:10:12
