日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-10-24,3280.26,-0.68,-19269861376.0,-3.29,-12482756608.0,-2.13,-6787104768.0,-1.16,3640365056.0,0.62,15629496320.0,2.67
2024-10-25,3299.7,0.59,-3387793408.0,-0.5,-82452480.0,-0.01,-3305340928.0,-0.49,-4432404480.0,-0.65,7820201984.0,1.15
2024-10-28,3322.2,0.68,-4148596736.0,-0.58,-2190475264.0,-0.31,-1958121472.0,-0.27,108130304.0,0.02,4040462336.0,0.56
2024-10-29,3286.41,-1.08,-40868786176.0,-5.07,-23338688512.0,-2.89,-17530097664.0,-2.17,9305481216.0,1.15,31563309056.0,3.91
2024-10-30,3266.24,-0.61,-27263311872.0,-3.73,-18001428480.0,-2.46,-9261883392.0,-1.27,5895184384.0,0.81,21368131584.0,2.92
2024-10-31,3279.82,0.42,-8043466752.0,-0.93,-1499201536.0,-0.17,-6544265216.0,-0.76,-86650880.0,-0.01,8130117632.0,0.94
2024-11-01,3272.01,-0.24,-31302377472.0,-3.56,-17266663424.0,-1.97,-14035714048.0,-1.6,5096857600.0,0.58,26205515776.0,2.98
2024-11-04,3310.21,1.17,1402478592.0,0.2,978440192.0,0.14,424038400.0,0.06,-3062861824.0,-0.44,1660383232.0,0.24
2024-11-05,3386.99,2.32,5894111232.0,0.63,9180737536.0,0.99,-3286626304.0,-0.35,-10271956992.0,-1.1,4377845760.0,0.47
2024-11-06,3383.81,-0.09,-34483593216.0,-3.36,-19391782912.0,-1.89,-15091810304.0,-1.47,8261820416.0,0.8,26221768704.0,2.55
2024-11-07,3470.66,2.57,317112320.0,0.03,3897499648.0,0.37,-3580387328.0,-0.34,-5435047936.0,-0.52,5117935616.0,0.49
2024-11-08,3452.3,-0.53,-41509761024.0,-3.75,-25436307456.0,-2.3,-16073453568.0,-1.45,8378511360.0,0.76,33131245568.0,2.99
2024-11-11,3470.07,0.51,-11841728512.0,-1.16,-8149725184.0,-0.8,-3692003328.0,-0.36,317415424.0,0.03,11524317184.0,1.13
2024-11-12,3421.97,-1.39,-64939233280.0,-6.25,-41743290368.0,-4.02,-23195942912.0,-2.23,19564130304.0,1.88,45375102976.0,4.36
2024-11-13,3439.28,0.51,-22802018304.0,-2.75,-10649886720.0,-1.28,-12152131584.0,-1.47,2469048320.0,0.3,20332974080.0,2.45
2024-11-14,3379.84,-1.73,-49275396096.0,-6.46,-31001841664.0,-4.06,-18273554432.0,-2.4,10690121728.0,1.4,38585270272.0,5.06
2024-11-15,3330.73,-1.45,-34282754048.0,-4.6,-18517835776.0,-2.48,-15764918272.0,-2.11,4266319872.0,0.57,30016434176.0,4.02
2024-11-18,3323.85,-0.21,-23042727936.0,-3.05,-14407806976.0,-1.91,-8634920960.0,-1.14,4602998784.0,0.61,18439729152.0,2.44
2024-11-19,3346.01,0.67,-16977858560.0,-2.61,-12214628352.0,-1.87,-4763230208.0,-0.73,3475140608.0,0.53,13502713856.0,2.07
2024-11-20,3367.99,0.66,4689334272.0,0.75,3907018752.0,0.62,782315520.0,0.12,-644218880.0,-0.1,-4045119488.0,-0.64
2024-11-21,3370.4,0.07,-12244459520.0,-1.99,-5389856768.0,-0.88,-6854602752.0,-1.12,1153433600.0,0.19,11091021824.0,1.8
2024-11-22,3267.19,-3.06,-46466834432.0,-6.57,-25901641728.0,-3.66,-20565192704.0,-2.91,8189894656.0,1.16,38276939776.0,5.41
2024-11-25,3263.76,-0.1,-17874225920.0,-3.0,-10339060480.0,-1.73,-7535165440.0,-1.26,733741056.0,0.12,17140486144.0,2.87
2024-11-26,3259.76,-0.12,-18469172224.0,-3.63,-11832124416.0,-2.32,-6637047808.0,-1.3,2816532480.0,0.55,15652642816.0,3.07
2024-11-27,3309.78,1.53,-3769387264.0,-0.66,-307591424.0,-0.05,-3461795840.0,-0.61,-4016304128.0,-0.7,7785693184.0,1.36
2024-11-28,3295.7,-0.43,-11400087808.0,-2.04,-5611612416.0,-1.01,-5788475392.0,-1.04,1313845248.0,0.24,10086240256.0,1.81
2024-11-29,3326.46,0.93,2482216960.0,0.37,5585641472.0,0.84,-3103424512.0,-0.47,-8479862784.0,-1.28,5997645824.0,0.9
