报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
2024-12-31,,82694250000.0,,,769815000.0,,,,,652824000.0,,,2655331000.0,2518688000.0,92149120000.0,51611517000.0,,,,271896000.0,,10410522000.0,3626177000.0,9483530000.0,77334842000.0,14814278000.0,,7107376000.0,3905035000.0,253363000.0,,252534000.0,,,11518308000.0,2938287000.0,9416703000.0,,,,321166000.0,12676156000.0,-1157848000.0,,573298000.0,2100000.0,27338102000.0,,891776000.0,28803176000.0,34221802000.0,2997376000.0,66170000.0,1863148000.0,39082326000.0,-10279150000.0,57330000.0,3434610000.0,8141859000.0,11576469000.0,8141859000.0,,,11576469000.0,定期报告,是,20250418,CNY,合并期末,2025-04-17T20:28:08
2024-09-30,,59210074000.0,,,769815000.0,,,,,515242000.0,,,2286059000.0,2290679000.0,67121813000.0,37268372000.0,,,,204477000.0,,8429091000.0,2401907000.0,6332246000.0,54746578000.0,12375235000.0,,6132942000.0,3298804000.0,232517000.0,,115230000.0,,,9779493000.0,2247901000.0,7588485000.0,,,,172222000.0,10008608000.0,-229115000.0,,573298000.0,2100000.0,19748486000.0,,477103000.0,20798887000.0,27823843000.0,2782465000.0,66170000.0,1733859000.0,32340167000.0,-11541280000.0,26988000.0,631828000.0,8141859000.0,11576469000.0,8141859000.0,,,8773687000.0,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T17:30:07
2024-06-30,,38364309000.0,,,769815000.0,,,,,340837000.0,,,1385730000.0,1828166000.0,44689355000.0,24511291000.0,,,,151684000.0,,5570203000.0,1527298000.0,4491048000.0,36251524000.0,8437831000.0,,2383152000.0,2733399000.0,169884000.0,,102285000.0,,,5388720000.0,1746524000.0,7472371000.0,,,,97002000.0,9315897000.0,-3927177000.0,,19405000.0,2100000.0,16924841000.0,,271717000.0,17215963000.0,16766833000.0,2424856000.0,66170000.0,989493000.0,20181182000.0,-2965219000.0,-32213000.0,1513222000.0,8141859000.0,9655081000.0,8141859000.0,,,9655081000.0,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T18:55:05
2024-03-31,,17124005000.0,,,1043059000.0,,,,,179496000.0,,,474704000.0,1614442000.0,21550623000.0,11083986000.0,,,,71009000.0,,3119300000.0,774558000.0,2124476000.0,17173329000.0,4377294000.0,,777447000.0,1778756000.0,57834000.0,,102285000.0,,,2716322000.0,895048000.0,4477972000.0,,,,97002000.0,5373020000.0,-2656698000.0,,17305000.0,2100000.0,6175721000.0,,271717000.0,6464743000.0,6370186000.0,306780000.0,66170000.0,61200000.0,6738166000.0,-273423000.0,-2899000.0,1444274000.0,8141859000.0,9655081000.0,8141859000.0,,,9586133000.0,定期报告,未审计,20240429,CNY,合并期末,2024-04-28T15:50:26
