序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
2629,600585,海螺水泥,24.89,0.04,-2642266.0,-1.05,-4904150.0,-1.94,2261884.0,0.9,-2974816.0,-1.18,5617082.0,2.22
2630,301086,鸿富瀚,43.34,-0.62,-2645104.0,-8.08,1606640.0,4.9,-4251744.0,-12.98,-835983.0,-2.55,3481087.0,10.63
2631,603577,汇金通,8.38,0.96,-2649045.0,-5.17,-581023.0,-1.13,-2068022.0,-4.04,-3805743.0,-7.43,6454788.0,12.6
2632,603396,金辰股份,22.97,-1.75,-2650242.0,-8.57,-29913.0,-0.1,-2620329.0,-8.47,3385805.0,10.95,-735563.0,-2.38
2633,603855,华荣股份,19.34,-2.42,-2651365.0,-5.13,-2888083.0,-5.59,236718.0,0.46,4785473.0,9.26,-2134108.0,-4.13
2634,600655,豫园股份,5.67,0.0,-2651618.0,-4.42,2081325.0,3.47,-4732943.0,-7.89,-4704809.0,-7.84,7356427.0,12.26
2635,002743,富煌钢构,6.79,-0.29,-2652059.0,-3.64,0.0,0.0,-2652059.0,-3.64,-7040602.0,-9.65,9692661.0,13.29
2636,001202,炬申股份,16.26,-1.63,-2657623.0,-4.54,0.0,0.0,-2657623.0,-4.54,-4174797.0,-7.13,6832420.0,11.66
2637,002274,华昌化工,7.44,0.68,-2660160.0,-4.19,668606.0,1.05,-3328766.0,-5.24,1886245.0,2.97,773915.0,1.22
2638,688175,高凌信息,15.86,-1.0,-2664164.0,-17.03,-898687.0,-5.74,-1765477.0,-11.28,2366795.0,15.13,297368.0,1.9
2639,600162,香江控股,1.77,0.0,-2666583.0,-5.21,1201867.0,2.35,-3868450.0,-7.56,2139044.0,4.18,527540.0,1.03
2640,002033,丽江股份,9.23,-0.32,-2667283.0,-1.95,-7338497.0,-5.36,4671214.0,3.41,2564688.0,1.87,102595.0,0.07
2641,688315,诺禾致源,13.76,-1.85,-2667909.0,-4.29,-2356736.0,-3.79,-311173.0,-0.5,2623269.0,4.22,44640.0,0.07
2642,688678,福立旺,18.06,-6.08,-2669278.0,-1.3,-7404527.0,-3.6,4735249.0,2.3,3479143.0,1.69,-809864.0,-0.39
