报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20241231,777102455000.0,777102455000.0,,,,,,737939947000.0,626046616000.0,,,,,,,,,14752402000.0,53194745000.0,24085317000.0,18644661000.0,1216206000.0,2093781000.0,,2291475000.0,1468954000.0,-7411000.0,,,531933000.0,,,,14051650000.0,,,,-126527000.0,50486047000.0,1251576000.0,,2056946000.0,,49680677000.0,8092737000.0,,41587940000.0,41587940000.0,,40254346000.0,,1333594000.0,843398000.0,836953000.0,367552000.0,,,408375000.0,,469401000.0,,,,,,,,,481496000.0,,6445000.0,42431338000.0,41091299000.0,1340039000.0,13.84,13.84,定期报告,是,20250325,CNY,合并期末,2025-03-24T20:32:05
20240930,502251312000.0,502251312000.0,,,,,,478028764000.0,397953563000.0,,,,,,,,,9398849000.0,33319208000.0,23920524000.0,12409492000.0,1027128000.0,1671538000.0,,1859498000.0,1351352000.0,,,,395891000.0,,,,9052255000.0,,,,-37506000.0,31746599000.0,732920000.0,,1160010000.0,,31319509000.0,5071961000.0,,26247548000.0,26247548000.0,,25238115000.0,,1009433000.0,-49563000.0,-41201000.0,-165662000.0,,,-253488000.0,,124461000.0,,,,,,,21059000.0,,219155000.0,,-8362000.0,26197985000.0,25196914000.0,1001071000.0,8.68,8.68,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T21:52:02
20240630,301126713000.0,301126713000.0,,,,,,287855895000.0,240859982000.0,,,,,,,,,5294231000.0,19620756000.0,14316951000.0,7694969000.0,69006000.0,1116060000.0,,1209337000.0,913659000.0,,,,347721000.0,,,,4824359000.0,,,,-8409000.0,17323276000.0,476512000.0,,571650000.0,,17228138000.0,3114922000.0,,14113216000.0,14113216000.0,,13631257000.0,,481959000.0,-511977000.0,-515439000.0,-461499000.0,,,-621795000.0,,-53940000.0,,,,,,,-19707000.0,,-32475000.0,,3462000.0,13601239000.0,13115818000.0,485421000.0,4.68,4.68,定期报告,未审计,20240829,CNY,合并期末,2024-08-29T00:57:03
20240331,124944397000.0,124944397000.0,,,,,,120733401000.0,97603387000.0,,,,,,,,,2141223000.0,10610654000.0,6803589000.0,3768509000.0,-193961000.0,580449000.0,,621940000.0,456861000.0,,,,142762000.0,,,,1796253000.0,,,,-4293000.0,5798486000.0,247476000.0,,328597000.0,,5717365000.0,946486000.0,,4770879000.0,4770879000.0,,4568793000.0,,202086000.0,-425437000.0,-425699000.0,-270918000.0,,,-360774000.0,,-154781000.0,,,,,,,-99585000.0,,-61795000.0,,262000.0,4345442000.0,4143094000.0,202348000.0,1.57,1.57,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T20:13:37
