日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024-10-28,41.1,0.42,71748698.0,4.89,11619354.0,0.79,60129344.0,4.09,-33086048.0,-2.25,-38662656.0,-2.63
2024-10-29,40.98,-0.29,-128456721.0,-11.32,-85417281.0,-7.53,-43039440.0,-3.79,37234880.0,3.28,91221842.0,8.04
2024-10-30,40.44,-1.32,-69911450.0,-7.13,-82668896.0,-8.43,12757446.0,1.3,8918416.0,0.91,60993039.0,6.22
2024-10-31,40.04,-0.99,-73326383.0,-6.94,-36270299.0,-3.43,-37056084.0,-3.5,-30558192.0,-2.89,103884592.0,9.83
2024-11-01,41.07,2.57,-23564665.0,-1.61,22608343.0,1.55,-46173008.0,-3.16,-102705408.0,-7.03,126270064.0,8.64
2024-11-04,40.75,-0.78,24971145.0,2.54,6099778.0,0.62,18871367.0,1.92,-45289376.0,-4.61,20318224.0,2.07
2024-11-05,41.03,0.69,-70617542.0,-7.46,-24035776.0,-2.54,-46581766.0,-4.92,10726576.0,1.13,59890973.0,6.32
2024-11-06,40.33,-1.71,-222934129.0,-16.31,-126270257.0,-9.24,-96663872.0,-7.07,124406112.0,9.1,98528016.0,7.21
2024-11-07,40.81,1.19,55560526.0,4.58,28988766.0,2.39,26571760.0,2.19,-18909536.0,-1.56,-36650992.0,-3.02
2024-11-08,40.19,-1.52,-53161236.0,-3.27,-72364020.0,-4.45,19202784.0,1.18,-3157488.0,-0.19,56318720.0,3.46
2024-11-11,39.38,-2.02,-38819553.0,-2.92,-50897809.0,-3.83,12078256.0,0.91,-12684784.0,-0.95,51504352.0,3.87
2024-11-12,38.91,-1.19,-36780960.0,-2.63,16369376.0,1.17,-53150336.0,-3.8,-10419232.0,-0.74,47200192.0,3.37
2024-11-13,39.37,1.18,65891733.0,4.67,69076197.0,4.89,-3184464.0,-0.23,-10528816.0,-0.75,-55362928.0,-3.92
2024-11-14,39.61,0.61,-41152137.0,-3.12,11119495.0,0.84,-52271632.0,-3.96,25334176.0,1.92,15817952.0,1.2
2024-11-15,40.14,1.34,159108366.0,9.63,37556942.0,2.27,121551424.0,7.35,4396848.0,0.27,-163505200.0,-9.89
2024-11-18,41.43,3.21,206605467.0,8.77,75232123.0,3.19,131373344.0,5.58,-41652976.0,-1.77,-164952512.0,-7.01
2024-11-19,41.11,-0.77,-25434350.0,-1.77,-19629342.0,-1.36,-5805008.0,-0.4,-7012112.0,-0.49,32446448.0,2.25
2024-11-20,41.04,-0.17,-37200760.0,-4.09,7630401.0,0.84,-44831161.0,-4.93,9730704.0,1.07,27470064.0,3.02
2024-11-21,41.19,0.37,-34276860.0,-4.1,-34628466.0,-4.14,351606.0,0.04,-33331951.0,-3.99,67608811.0,8.09
2024-11-22,39.8,-3.37,-36738680.0,-3.33,-24812997.0,-2.25,-11925683.0,-1.08,-38514704.0,-3.49,75253360.0,6.82
