日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-11-28,4.91,-0.2,1061771.0,0.15,11345854.0,1.61,-10284083.0,-1.46,-56709160.0,-8.04,55647389.0,7.89,1061771.0,11.685782527483152,1.9999999999981164,10525341.6,0.22309819476459927
2024-11-29,4.89,-0.41,12291640.0,1.21,21835240.0,2.15,-9543600.0,-0.94,-16642448.0,-1.64,4350812.0,0.43,12291644.0,2.776429255516774,1.9999993491511794,16040085.4,0.37142774988942917
2024-12-02,4.89,0.0,-65318988.0,-7.79,-54497755.0,-6.5,-10821233.0,-1.29,32191544.0,3.84,33127443.0,3.95,-65318989.0,-1.8343324787222008,-1.999999969381002,-7567011.4,-0.6536907590951732
2024-12-03,4.97,1.64,219894892.0,18.86,109523708.0,9.39,110371184.0,9.46,-119055410.0,-10.21,-100839466.0,-8.65,219894908.0,1.498072888527271,1.9999998544759299,40657164.6,3.113551351071973
2024-12-04,4.99,0.4,12738184.0,1.51,-21824727.0,-2.58,34562911.0,4.09,-22757752.0,-2.69,10019568.0,1.19,12738184.0,-0.7133311153300412,1.999999999999843,36133503.6,0.37732586463618023
2024-12-05,4.96,-0.6,6961602.0,0.97,10757996.0,1.49,-3796394.0,-0.53,-8472332.0,-1.18,1510730.0,0.21,6961602.0,2.545333387343524,1.9999999999997127,37313469.8,0.3010259956882322
2024-12-06,4.98,0.4,-139911401.0,-12.21,-125599593.0,-10.96,-14311808.0,-1.25,83081504.0,7.25,56829918.0,4.96,-139911380.0,-1.897708349385147,-2.0000003001900057,6872865.0,-1.6389428783958426
2024-12-09,5.03,1.0,-28114739.0,-2.61,-73408099.0,-6.82,45293360.0,4.21,38408529.0,3.57,-10293793.0,-0.96,-28114742.0,-3.611017949230919,-1.9999997865887584,14313714.4,-0.16227919938614638
2024-12-10,5.09,1.19,-3391322.0,-0.29,-23863050.0,-2.06,20471728.0,1.77,42733584.0,3.7,-39342250.0,-3.4,-3391310.0,-8.036532195520895,-2.0000070769106926,-30343529.2,0.16427976256462404
2024-12-11,5.01,-1.57,-76060705.0,-7.68,-39580680.0,-4.0,-36480025.0,-3.68,21345301.0,2.16,54715400.0,5.53,-76060709.0,-1.5203826853625368,-1.9999998948208333,-48103307.8,-0.7955725549868532
2024-12-12,5.08,1.4,36908696.0,3.86,102117815.0,10.69,-65209119.0,-6.83,-81887844.0,-8.57,44979151.0,4.71,36908699.0,3.7667681269392954,1.9999998374366434,-42113888.4,0.6965816333423828
2024-12-13,5.06,-0.39,103093159.0,8.88,-274410.0,-0.02,103367569.0,8.91,-99793952.0,-8.6,-3299216.0,-0.28,103093150.0,0.9973383197622636,2.00000017459936,6487017.6,1.5707776436633458
2024-12-16,5.14,1.58,81177773.0,6.58,85216253.0,6.91,-4038480.0,-0.33,-81019630.0,-6.57,-158145.0,-0.01,81177771.0,2.049748643628044,2.0000000492745484,28345520.2,1.2813087941525776
2024-12-17,5.16,0.39,-48542290.0,-5.04,-15891932.0,-1.65,-32650358.0,-3.39,21382531.0,2.22,27159762.0,2.82,-48542287.0,-1.3273833183837975,-2.0000001236035296,19315324.8,-0.43209602297288185
2024-12-18,5.16,0.0,-1491327.0,-0.14,8581233.0,0.8,-10072560.0,-0.94,19541153.0,1.82,-18049823.0,-1.68,-1491324.0,4.75410172437059,-2.000004023269256,34229201.8,0.1893756900184256
2024-12-19,5.11,-0.97,-84948305.0,-8.04,-124879121.0,-11.83,39930816.0,3.78,40628963.0,3.85,44319345.0,4.2,-84948302.0,-2.470060272658511,-2.0000000706311707,9857801.6,-0.912964151118043
