日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-25,601668,5.03,4.9,5.2,4.9,3518013,2048773552.0,5.86,-4.3,-0.22,0.86
2022-04-26,601668,4.88,5.08,5.21,4.88,4147097,2418255488.0,6.73,3.67,0.18,1.02
2022-04-27,601668,5.23,5.16,5.31,4.97,5154512,3054059376.0,6.69,1.57,0.08,1.26
2022-04-28,601668,5.11,5.41,5.42,5.09,5148013,3135787184.0,6.4,4.84,0.25,1.26
2022-04-29,601668,5.39,5.51,5.53,5.25,5223922,3231186480.0,5.18,1.85,0.1,1.28
2022-05-05,601668,5.52,5.42,5.63,5.38,3950226,2457361104.0,4.54,-1.63,-0.09,0.97
2022-05-06,601668,5.28,5.2,5.32,5.1,3112917,1862892144.0,4.06,-4.06,-0.22,0.76
2022-05-09,601668,5.19,5.14,5.28,5.06,2234132,1320278896.0,4.23,-1.15,-0.06,0.55
2022-05-10,601668,5.09,5.27,5.29,5.0,3405446,2025449792.0,5.64,2.53,0.13,0.83
2022-05-11,601668,5.26,5.08,5.27,5.06,3964876,2332869216.0,3.98,-3.61,-0.19,0.97
2022-05-12,601668,5.05,5.0,5.12,4.93,2599425,1503598640.0,3.74,-1.57,-0.08,0.64
2022-05-13,601668,5.01,5.1,5.13,4.97,2554527,1490342304.0,3.2,2.0,0.1,0.63
2022-05-16,601668,5.18,5.21,5.24,5.04,2775347,1643694192.0,3.92,2.16,0.11,0.68
2022-05-17,601668,5.18,5.11,5.21,5.07,2110608,1242802704.0,2.69,-1.92,-0.1,0.52
2022-05-18,601668,5.09,5.03,5.1,4.96,1914531,1109946656.0,2.74,-1.57,-0.08,0.47
2022-05-19,601668,4.96,5.12,5.15,4.94,2110747,1229693520.0,4.17,1.79,0.09,0.52
2022-05-20,601668,5.11,5.14,5.19,5.06,2319348,1369686400.0,2.54,0.39,0.02,0.57
2022-05-23,601668,5.11,4.95,5.13,4.94,2887598,1662400656.0,3.7,-3.7,-0.19,0.71
2022-05-24,601668,4.96,4.83,4.97,4.8,2585780,1459092208.0,3.43,-2.42,-0.12,0.63
2022-05-25,601668,4.86,4.88,4.89,4.83,1892789,1064739440.0,1.24,1.04,0.05,0.46
