报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,89039388538.88,88732934445.43,306454093.45,,,,,78861832375.69,57848045608.41,,,,,,,,,525626915.15,556309511.39,17151909071.81,3375908299.41,-595967030.48,1328990365.16,,2659345939.07,51760336.94,,,,-6830565.18,,,,734375190.69,,,,-5208912.2,12503090615.78,71300329.24,,70674403.61,,12503716541.41,1606949379.21,,10896767162.2,10896767162.2,,10868480345.34,,28286816.86,-93864572.89,-91110277.52,-34532577.7,,-863540.59,-33669037.11,,-56577699.82,15754977.63,,,,,,16822384.63,,-89155062.08,,-2754295.37,10802902589.31,10777370067.82,25532521.49,1.71,1.71,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:57:03
20240630,59914861545.12,59695756961.59,219104583.53,,,,,53278733638.39,38930829297.03,,,,,,,,,362776219.92,341385889.99,11629389875.55,2346014340.23,-331661984.33,1020910620.34,,2627951518.25,39574065.24,,,,-88373971.08,,,,526108472.48,,,,2937088.08,8747414625.37,61162577.67,,52318479.03,,8756258724.01,1183261213.14,,7572997510.87,7572997510.87,,7531134128.62,,41863382.25,-343998127.87,-336518937.02,-74676647.88,,-863540.59,-73813107.29,,-261842289.14,-9680614.57,,,,,,-46248860.49,,-205912814.08,,-7479190.85,7228999383.0,7194615191.6,34384191.4,1.18,1.19,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T17:42:03
20240331,32577279421.31,32462896350.54,114383070.77,,,,,28372854819.27,20843815469.28,,,,,,,,,181376162.4,145359576.36,6009915467.25,1454783444.79,-262395300.81,489589911.24,,2579178716.91,3841891.15,,,,-59580247.39,,,,232506712.49,,,,1631300.82,6902279805.02,56485927.04,,35205062.39,,6923560669.67,968706007.49,,5954854662.18,5954854662.18,,5922814507.71,,32040154.47,-392650076.86,-382604109.32,-57472023.29,,16363.04,-57488386.33,,-325132086.03,-2623506.82,,,,,,-69687434.93,,-252821144.28,,-10045967.54,5562204585.32,5540210398.39,21994186.93,0.93,0.93,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T19:37:08
20231231,126179458590.36,125758168916.51,421289673.85,,,,,113944277809.29,84788592077.34,,,,,,,,,732659573.36,850146147.17,22571509868.48,5154218306.42,-152848163.48,2192827743.5,,-31088785.68,-59633067.9,,,,278186201.65,,,,1097851685.94,,,,-20648925.84,11873304166.44,229839386.72,,381955766.51,,11721187786.65,1436881588.37,,10284306198.28,10284306198.28,,10428540457.94,,-144234259.66,-318043039.16,-374768315.36,-578626613.13,55183.96,1223235.37,-579905032.46,,203858297.77,-22650754.82,,,,,,31043699.83,,195465352.76,,56725276.2,9966263159.12,10053772142.58,-87508983.46,1.64,1.64,定期报告,是,20240430,CNY,合并期末,2024-04-29T19:37:08
