序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
4381,300448,浩云科技,6.2,2.65,-7173002.0,-8.44,-1085107.0,-1.28,-6087895.0,-7.16,291481.0,0.34,6881521.0,8.1
4382,300411,金盾股份,11.41,2.15,-7183917.0,-9.59,-1280262.0,-1.71,-5903655.0,-7.88,2700787.0,3.6,4483130.0,5.98
4383,605166,聚合顺,10.57,1.15,-7185096.0,-12.98,-2010543.0,-3.63,-5174553.0,-9.35,3204919.0,5.79,3980177.0,7.19
4384,688418,震有科技,31.85,-0.5,-7196013.0,-5.03,-1376132.0,-0.96,-5819881.0,-4.07,6470446.0,4.53,725567.0,0.51
4385,600812,华北制药,6.01,2.04,-7232099.0,-7.65,457432.0,0.48,-7689531.0,-8.14,3443109.0,3.64,3788990.0,4.01
4386,002507,涪陵榨菜,13.45,-0.44,-7244876.0,-6.45,-6285616.0,-5.6,-959260.0,-0.85,1774503.0,1.58,5470374.0,4.87
4387,603995,甬金股份,17.96,1.01,-7254473.0,-11.32,-8071261.0,-12.6,816788.0,1.28,-5100734.0,-7.96,12355207.0,19.29
4388,002741,光华科技,15.5,1.91,-7258000.0,-5.92,-3294541.0,-2.69,-3963459.0,-3.23,-6583977.0,-5.37,13841977.0,11.29
4389,601096,宏盛华源,4.15,1.22,-7279296.0,-11.6,928660.0,1.48,-8207956.0,-13.08,-476002.0,-0.76,7755298.0,12.36
4390,300627,华测导航,40.82,-0.07,-7280160.0,-4.83,-1762989.0,-1.17,-5517171.0,-3.66,9105893.0,6.04,-1825733.0,-1.21
4391,300404,博济医药,9.15,2.58,-7288513.0,-7.39,-2481678.0,-2.52,-4806835.0,-4.87,-4759092.0,-4.83,12047604.0,12.21
4392,002223,鱼跃医疗,34.14,0.71,-7297996.0,-4.39,-1535320.0,-0.92,-5762676.0,-3.47,4559541.0,2.74,2738455.0,1.65
4393,000592,平潭发展,2.97,0.34,-7299185.0,-3.07,868733.0,0.37,-8167918.0,-3.43,-13903387.0,-5.85,21202573.0,8.91
4394,300066,三川智慧,3.79,1.61,-7304736.0,-16.81,-5525058.0,-12.72,-1779678.0,-4.1,2280384.0,5.25,5024352.0,11.56
4395,300168,万达信息,7.26,0.97,-7338193.0,-5.13,-6109449.0,-4.27,-1228744.0,-0.86,11908785.0,8.33,-4570591.0,-3.2
4396,300923,研奥股份,22.4,5.91,-7355820.0,-6.94,-1013989.0,-0.96,-6341831.0,-5.98,583299.0,0.55,6772521.0,6.39
4397,002522,浙江众成,4.43,3.26,-7370929.0,-5.75,4098576.0,3.2,-11469505.0,-8.95,-14282651.0,-11.15,21653580.0,16.9
4398,605198,安德利,39.22,-0.83,-7400018.0,-9.86,-6322089.0,-8.43,-1077929.0,-1.44,3163330.0,4.22,4236688.0,5.65
4399,300762,上海瀚讯,20.03,1.83,-7412848.0,-2.85,-5636154.0,-2.17,-1776694.0,-0.68,-3207038.0,-1.23,10619886.0,4.09
4400,001279,强邦新材,38.19,-1.32,-7425492.0,-6.39,-1835086.0,-1.58,-5590406.0,-4.81,-3233896.0,-2.78,10659388.0,9.17
4401,300054,鼎龙股份,29.92,0.54,-7449206.0,-1.96,-233007.0,-0.06,-7216199.0,-1.9,-74508.0,-0.02,7523715.0,1.98
4402,000567,海德股份,5.8,0.0,-7449507.0,-7.68,-8614161.0,-8.88,1164654.0,1.2,777003.0,0.8,6672504.0,6.88
4403,688107,安路科技,29.0,1.12,-7452339.0,-9.27,-2498363.0,-3.11,-4953976.0,-6.17,5109808.0,6.36,2342531.0,2.92
4404,000636,风华高科,13.6,0.82,-7456567.0,-7.46,442449.0,0.44,-7899016.0,-7.9,-2925951.0,-2.93,10382518.0,10.39
4405,000779,甘咨询,8.73,1.04,-7471487.0,-9.99,-1880320.0,-2.51,-5591167.0,-7.48,5172977.0,6.92,2298510.0,3.07
