报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20240930,,94743756737.74,,,,,,,,154991475.71,,,669048050.41,3172081119.73,98739877383.59,67844508709.73,,,,,,10668887654.05,5224476083.67,1132392652.72,84870265100.17,13869612283.42,,2267715900.67,108076827.25,69982033.02,,,,,2445774760.94,2949997348.45,4534076043.26,,,,37764182.05,7521837573.76,-5076062812.82,,74400.0,74400.0,163920860566.07,,308038605.93,164228973572.0,159851510077.55002,8811348642.6,47457209.77,911507872.58,169574366592.72998,-5345393020.73,-17217959.11,3430938490.76,42812079851.67,,,,,46243018342.43,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:55:05
20240630,,60727716128.64,,,,,,,,108638811.33,,,391569748.62,2363804861.55,63591729550.14,45734024374.97,,,,,,7750060820.9,4036833511.63,745267181.24,58266185888.74,5325543661.4,,1159273889.39,54893029.2,57690841.94,,,,,1271857760.53,1921692430.18,2023133672.0,,,,38015754.32,3982841856.5,-2710984095.97,,,,130433279295.84,,95880158.67,130529159454.51,122925407224.95,8509089886.19,34622453.46,242146793.69,131676643904.83,-1147484450.32,-42768174.03,1424306941.08,42812079851.67,44236386792.75,41812079851.67,,1000000000.0,44236386792.75,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T17:40:06
20240331,,31237969187.93,,,,,,,,51375166.84,,,183514089.54,1051541955.1,32524400399.41,23611904098.48,,,,,,4534926471.35,1748812118.08,361157506.68,30256800194.59,2267600204.82,,633914576.07,32318005.49,25499876.45,,,,,691732458.01,1081633465.57,1159982593.96,,,,41528765.61,2283144825.14,-1591412367.13,,,,66843137182.37,,185444911.3,67028582093.67,56608532804.24,426575930.9,,33184195.45,57068292930.59,9960289163.08,-1895971.19,10634581029.58,42812079851.67,,,,,53446660881.25,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T19:35:11
20231231,,137239211650.99,,,,,,,,163043516.45,,,1432627572.18,4369829876.38,143204712616.0,101912916049.12,,,,,,14252055015.1,6821262515.47,1928121385.75,124914354965.44,18290357650.56,,5690370702.87,155263220.02,62993498.78,,24268478.3,,,5932895899.97,6955597704.25,14982088652.08,,39400521.92,,306935.55,21977393813.8,-16044497913.83,,161865742.43,161865742.43,285353864407.63,,71721501.48,285587451651.54,268867919969.39,8415894369.75,60007375.75,1045156845.45,278328971184.59,7258480466.95,119312603.03,9623652806.71,33188427044.96,41812079851.67,32788427044.96,1000000000.0,400000000.0,42812079851.67,定期报告,是,20240430,CNY,合并期末,2024-04-29T19:35:11
