序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
1,002594,比亚迪,363.22,1.1,639214096.0,12.25,355602672.0,6.81,283611424.0,5.43,-330425168.0,-6.33,-308788912.0,-5.92
2,300663,科蓝软件,18.83,13.98,523473080.0,21.43,620375496.0,25.39,-96902416.0,-3.97,-302104688.0,-12.37,-221368384.0,-9.06
3,002553,南方精工,25.0,6.93,316786688.0,11.26,417568016.0,14.84,-100781328.0,-3.58,-211933424.0,-7.53,-104853296.0,-3.73
4,002194,武汉凡谷,14.47,10.04,305936383.0,17.46,357044735.0,20.38,-51108352.0,-2.92,-99113728.0,-5.66,-206822640.0,-11.81
5,300031,宝通科技,28.66,3.8,268368615.0,16.24,117320583.0,7.1,151048032.0,9.14,-49755824.0,-3.01,-218612800.0,-13.23
6,300750,宁德时代,248.27,1.51,258518512.0,4.41,-49419936.0,-0.84,307938448.0,5.26,117907104.0,2.01,-376425600.0,-6.43
7,000559,万向钱潮,8.44,10.04,257434154.0,35.05,320687032.0,43.66,-63252878.0,-8.61,-150712159.0,-20.52,-106721998.0,-14.53
8,002074,国轩高科,23.25,9.15,253133980.0,19.47,330204640.0,25.4,-77070660.0,-5.93,-148083301.0,-11.39,-105050666.0,-8.08
9,601919,中远海控,14.91,1.64,222054639.0,17.28,141044271.0,10.98,81010368.0,6.3,-114674096.0,-8.92,-107380560.0,-8.36
10,002378,章源钨业,7.9,10.03,214884740.0,33.33,218128000.0,33.84,-3243260.0,-0.5,-100163356.0,-15.54,-114721384.0,-17.8
11,601288,农业银行,5.51,1.29,207849584.0,9.52,75851712.0,3.47,131997872.0,6.04,-144692432.0,-6.63,-63157168.0,-2.89
12,002338,奥普光电,51.65,10.01,185587024.0,5.77,312800016.0,9.73,-127212992.0,-3.96,-154870064.0,-4.82,-30716960.0,-0.96
13,002164,宁波东力,10.3,6.08,171447121.0,14.11,196760640.0,16.19,-25313519.0,-2.08,-65678560.0,-5.41,-105768544.0,-8.71
14,600276,恒瑞医药,52.81,2.42,157596224.0,5.12,160676912.0,5.22,-3080688.0,-0.1,-118675552.0,-3.85,-38920672.0,-1.26
15,601398,工商银行,7.17,0.84,157435200.0,7.04,93733856.0,4.19,63701344.0,2.85,-123509408.0,-5.52,-33925792.0,-1.52
16,000333,美的集团,75.8,1.07,145051584.0,7.79,34829440.0,1.87,110222144.0,5.92,-86805776.0,-4.66,-58245808.0,-3.13
17,603257,中国瑞林,53.37,10.0,142212376.0,22.09,120281818.0,18.68,21930558.0,3.41,-58777080.0,-9.13,-83435295.0,-12.96
18,600575,淮河能源,3.84,10.03,141457886.0,20.02,150844608.0,21.35,-9386722.0,-1.33,-56106157.0,-7.94,-85351729.0,-12.08
