日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2024-10-28,3322.2,0.68,-4148596736.0,-0.58,-2190475264.0,-0.31,-1958121472.0,-0.27,108130304.0,0.02,4040462336.0,0.56,-4148600832.0,-1.5280023932656817,-1.9999980253583476,,0.64257160728729
2024-10-29,3286.41,-1.08,-40868786176.0,-5.07,-23338688512.0,-2.89,-17530097664.0,-2.17,9305481216.0,1.15,31563309056.0,3.91,-40868782080.0,-1.5710640596608647,-2.000000200446394,,-1.7004903368034923
2024-10-30,3266.24,-0.61,-27263311872.0,-3.73,-18001428480.0,-2.46,-9261883392.0,-1.27,5895184384.0,0.81,21368131584.0,2.92,-27263307776.0,-1.6602805765134168,-2.0000003004771125,,-0.832344592704157
2024-10-31,3279.82,0.42,-8043466752.0,-0.93,-1499201536.0,-0.17,-6544265216.0,-0.76,-86650880.0,-0.01,8130117632.0,0.94,-8043466752.0,-1.1863874846784472,-1.9999999999999998,,0.3940458156291896
2024-11-01,3272.01,-0.24,-31302377472.0,-3.56,-17266663424.0,-1.97,-14035714048.0,-1.6,5096857600.0,0.58,26205515776.0,2.98,-31302381568.0,-1.551608486737363,-1.999999738294673,-22325307801.6,-1.0900720812340536
2024-11-04,3310.21,1.17,1402478592.0,0.2,978440192.0,0.14,424038400.0,0.06,-3062861824.0,-0.44,1660383232.0,0.24,1402478592.0,1.6976507146570394,1.9999999999999987,-21215091916.8,0.9967780002012192
2024-11-05,3386.99,2.32,5894111232.0,0.63,9180737536.0,0.99,-3286626304.0,-0.35,-10271956992.0,-1.1,4377845760.0,0.47,5894111232.0,2.557611856077031,1.9999999999999998,-11862513254.4,1.2833826178239394
2024-11-06,3383.81,-0.09,-34483593216.0,-3.36,-19391782912.0,-1.89,-15091810304.0,-1.47,8261820416.0,0.8,26221768704.0,2.55,-34483597312.0,-1.5623479082111837,-1.999999762437778,-13306571161.6,-1.2930608817349993
2024-11-07,3470.66,2.57,317112320.0,0.03,3897499648.0,0.37,-3580387328.0,-0.34,-5435047936.0,-0.52,5117935616.0,0.49,317112320.0,13.290596745027083,1.9999999999999936,-11634455347.2,0.9275223396654642
2024-11-08,3452.3,-0.53,-41509761024.0,-3.75,-25436307456.0,-2.3,-16073453568.0,-1.45,8378511360.0,0.76,33131245568.0,2.99,-41509765120.0,-1.612778783172262,-1.9999998026488472,-13675932057.6,-1.7413905425429022
